Comunidades;Anio;PIB;Gasto;Numero_Parados;Numero_habitantes;Tasa_Paro;Inferior_2_etapa_Secundaria;2_etapa_Secundaria;Educacion_Superior;Tipo_Delito;Numero_Delitos;Tasa_Delitos
Andalucia;2003;14198.4;6509.96;599900;7606848.0;7.89;63.8;15.1;21.1;Total;24343.0;0.320014
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Concurso de delitos;1808.0;0.023519
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Contra el orden público;1305.0;0.016976
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Contra el patrimonio y el orden socioeconomico;8084.0;0.105157
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Contra la Administración de Justicia;1304.0;0.016963
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Contra la libertad;553.0;0.007193
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Contra la seguridad colectiva;8086.0;0.105183
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Lesiones;3996.0;0.05198
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Otros delitos;1922.0;0.025002
Andalucia;2004;15170.82;6961.48;568400;7687518.0;7.39;62.1;16.1;21.8;Total;27058.0;0.351973
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Concurso de delitos;1588.0;0.02023
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Contra el orden público;1609.0;0.020497
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Contra el patrimonio y el orden socioeconomico;7513.0;0.095709
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Contra la Administración de Justicia;1584.0;0.020179
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Contra la libertad;812.0;0.010344
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Contra la seguridad colectiva;8321.0;0.106003
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Lesiones;5050.0;0.064333
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Otros delitos;2042.0;0.026013
Andalucia;2005;16249.93;7533.71;475575;7849799.0;6.06;59.4;17.6;23.0;Total;28519.0;0.363309
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Concurso de delitos;2580.0;0.032348
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Contra el orden público;1702.0;0.02134
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Contra el patrimonio y el orden socioeconomico;7902.0;0.099076
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Contra la Administración de Justicia;1711.0;0.021453
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Contra la libertad;1273.0;0.015961
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Contra la seguridad colectiva;8871.0;0.111226
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Lesiones;4743.0;0.059468
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Otros delitos;2178.0;0.027308
Andalucia;2006;17306.05;9829.81;451825;7975672.0;5.67;59.1;17.7;23.2;Total;30960.0;0.38818
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Contra el orden público;3642.0;0.045189
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Contra el patrimonio y el orden socioeconomico;11444.0;0.141995
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Contra la Administración de Justicia;2601.0;0.032273
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Contra la libertad;2365.0;0.029344
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Contra la seguridad colectiva;12920.0;0.160308
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Lesiones;7975.0;0.098952
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Otros delitos;3879.0;0.04813
Andalucia;2007;18143.54;10383.91;470975;8059461.0;5.84;58.3;17.6;24.1;Total;44826.0;0.556191
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Amenazas;1926.0;0.023481
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Atentados contra la autoridad;3158.0;0.038502
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Contra el orden público;3395.0;0.041391
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Contra el patrimonio y el orden socioeconomico;12113.0;0.14768
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Contra la Administración de Justicia;2739.0;0.033393
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Contra la libertad;2753.0;0.033564
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Contra la salud pública;3031.0;0.036953
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Contra la seguridad colectiva;25625.0;0.312415
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Contra la seguridad vial;22537.0;0.274767
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Hurtos;8050.0;0.098144
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Lesiones;7546.0;0.091999
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Otros delitos;12458.0;0.151886
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Quebrantamiento de condena;2223.0;0.027102
Andalucia;2008;18368.61;10724.76;683625;8202220.0;8.33;57.5;17.8;24.7;Total;58108.0;0.708442
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Amenazas;2319.0;0.02793
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Atentados contra la autoridad;3136.0;0.03777
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Contra el orden público;3365.0;0.040528
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Contra el patrimonio y el orden socioeconomico;11875.0;0.143022
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Contra la Administración de Justicia;2798.0;0.033699
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Contra la libertad;3115.0;0.037517
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Contra la salud pública;3249.0;0.039131
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Contra la seguridad colectiva;27388.0;0.32986
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Contra la seguridad vial;24086.0;0.290091
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Hurtos;7860.0;0.094665
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Lesiones;6513.0;0.078442
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Otros delitos;12275.0;0.14784
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Quebrantamiento de condena;2211.0;0.026629
Andalucia;2009;17486.27;10207.65;992825;8302923.0;11.96;56.3;18.6;25.2;Total;59019.0;0.710822
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Amenazas;2391.0;0.028563
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Atentados contra la autoridad;2984.0;0.035647
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Contra el orden público;3199.0;0.038215
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Contra el patrimonio y el orden socioeconomico;11317.0;0.135193
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Contra la Administración de Justicia;2767.0;0.033055
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Contra la libertad;3195.0;0.038168
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Contra la salud pública;3239.0;0.038693
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Contra la seguridad colectiva;22306.0;0.266468
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Contra la seguridad vial;18995.0;0.226915
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Hurtos;7799.0;0.093167
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Lesiones;6522.0;0.077912
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Otros delitos;11552.0;0.138001
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Quebrantamiento de condena;2181.0;0.026054
Andalucia;2010;17428.18;10050.59;1110500;8370975.0;13.27;55.6;18.6;25.7;Total;53097.0;0.634299
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Concurso de delitos;184.0;0.015551
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Contra el orden público;86.0;0.007268
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Contra el patrimonio y el orden socioeconomico;816.0;0.068964
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Contra la Administración de Justicia;69.0;0.005831
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Contra la libertad;36.0;0.003043
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Contra la seguridad colectiva;712.0;0.060174
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Lesiones;89.0;0.007522
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Otros delitos;173.0;0.014621
Aragon;1998;14424.84;5714.0;57750;1183234.0;4.88;;;;Total;2165.0;0.182973
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Concurso de delitos;224.0;0.018874
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Contra el orden público;78.0;0.006572
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Contra el patrimonio y el orden socioeconomico;829.0;0.069849
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Contra la Administración de Justicia;63.0;0.005308
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Contra la libertad;47.0;0.00396
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Contra la seguridad colectiva;718.0;0.060496
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Lesiones;161.0;0.013565
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Otros delitos;180.0;0.015166
Aragon;1999;15140.66;6006.11;46800;1186849.0;3.94;;;;Total;2300.0;0.19379
