Comunidades;Anio;Sexo;Edad;Numero_Condenados
Valencia;2018;Total;18_20_anios;3193
Valencia;2017;Total;18_20_anios;3207
Valencia;2016;Total;18_20_anios;2932
Valencia;2015;Total;18_20_anios;2369
Valencia;2014;Total;18_20_anios;2252
Valencia;2013;Total;18_20_anios;2204
Valencia;2019;Total;21_25_anios;5027
Valencia;2018;Total;21_25_anios;5134
Valencia;2017;Total;21_25_anios;4952
Valencia;2016;Total;21_25_anios;4703
Valencia;2015;Total;21_25_anios;3957
Valencia;2014;Total;21_25_anios;4055
Valencia;2013;Total;21_25_anios;4031
Valencia;2019;Total;26_30_anios;4760
Valencia;2018;Total;26_30_anios;4785
Valencia;2017;Total;26_30_anios;4812
Valencia;2016;Total;26_30_anios;4657
Valencia;2015;Total;26_30_anios;3970
Valencia;2014;Total;26_30_anios;4071
Valencia;2013;Total;26_30_anios;4121
Valencia;2019;Total;31_35_anios;5176
Valencia;2018;Total;31_35_anios;5125
Valencia;2017;Total;31_35_anios;5044
Valencia;2016;Total;31_35_anios;4940
Valencia;2015;Total;31_35_anios;4289
Valencia;2014;Total;31_35_anios;4412
Valencia;2013;Total;31_35_anios;4362
Valencia;2019;Total;36_40_anios;5355
Valencia;2018;Total;36_40_anios;5396
Valencia;2017;Total;36_40_anios;5204
Valencia;2016;Total;36_40_anios;4766
Valencia;2015;Total;36_40_anios;4020
Valencia;2014;Total;36_40_anios;3889
Valencia;2013;Total;36_40_anios;3807
Valencia;2019;Total;41_50_anios;8311
Valencia;2018;Total;41_50_anios;7959
Valencia;2017;Total;41_50_anios;7506
Valencia;2016;Total;41_50_anios;7046
Valencia;2015;Total;41_50_anios;5592
Valencia;2014;Total;41_50_anios;5522
Valencia;2013;Total;41_50_anios;5376
Valencia;2019;Total;51_60_anios;3839
Valencia;2018;Total;51_60_anios;3602
Valencia;2017;Total;51_60_anios;3425
Valencia;2016;Total;51_60_anios;3038
Valencia;2015;Total;51_60_anios;2212
Valencia;2014;Total;51_60_anios;2146
Valencia;2013;Total;51_60_anios;2039
Valencia;2019;Total;61_70_anios;1378
Valencia;2018;Total;61_70_anios;1247
Valencia;2017;Total;61_70_anios;1138
Valencia;2016;Total;61_70_anios;977
Valencia;2015;Total;61_70_anios;704
Valencia;2014;Total;61_70_anios;647
Valencia;2013;Total;61_70_anios;588
Valencia;2019;Total;mayor_70_anios;420
Valencia;2018;Total;mayor_70_anios;410
Valencia;2017;Total;mayor_70_anios;380
Valencia;2016;Total;mayor_70_anios;324
Valencia;2015;Total;mayor_70_anios;195
Valencia;2014;Total;mayor_70_anios;150
Valencia;2013;Total;mayor_70_anios;150
Valencia;2019;Hombres;Total;29363
Valencia;2018;Hombres;Total;28973
Valencia;2017;Hombres;Total;28339
Valencia;2016;Hombres;Total;26710
Valencia;2015;Hombres;Total;22913
Valencia;2014;Hombres;Total;23305
Valencia;2013;Hombres;Total;23146
Valencia;2019;Hombres;18_20_anios;2400
Valencia;2018;Hombres;18_20_anios;2461
Valencia;2017;Hombres;18_20_anios;2458
Valencia;2016;Hombres;18_20_anios;2338
Valencia;2015;Hombres;18_20_anios;1959
Valencia;2014;Hombres;18_20_anios;1914
Valencia;2013;Hombres;18_20_anios;1904
Valencia;2019;Hombres;21_25_anios;3937
Valencia;2018;Hombres;21_25_anios;3988
Valencia;2017;Hombres;21_25_anios;3887
Valencia;2016;Hombres;21_25_anios;3697
Valencia;2015;Hombres;21_25_anios;3233
Valencia;2014;Hombres;21_25_anios;3425
Valencia;2013;Hombres;21_25_anios;3430
Valencia;2019;Hombres;26_30_anios;3746
Valencia;2018;Hombres;26_30_anios;3727
Valencia;2017;Hombres;26_30_anios;3819
Valencia;2016;Hombres;26_30_anios;3695
Valencia;2015;Hombres;26_30_anios;3291
Valencia;2014;Hombres;26_30_anios;3439
Valencia;2013;Hombres;26_30_anios;3523
Valencia;2019;Hombres;31_35_anios;4039
Valencia;2018;Hombres;31_35_anios;3989
Valencia;2017;Hombres;31_35_anios;3972
Valencia;2016;Hombres;31_35_anios;3895
Valencia;2015;Hombres;31_35_anios;3562
Valencia;2014;Hombres;31_35_anios;3779
Valencia;2013;Hombres;31_35_anios;3770
Valencia;2019;Hombres;36_40_anios;4225
Valencia;2018;Hombres;36_40_anios;4257
Valencia;2017;Hombres;36_40_anios;4170
Valencia;2016;Hombres;36_40_anios;3856
Valencia;2015;Hombres;36_40_anios;3450
Valencia;2014;Hombres;36_40_anios;3364
Valencia;2013;Hombres;36_40_anios;3306
Valencia;2019;Hombres;41_50_anios;6615
Valencia;2018;Hombres;41_50_anios;6357
Valencia;2017;Hombres;41_50_anios;6092
Valencia;2016;Hombres;41_50_anios;5742
Valencia;2015;Hombres;41_50_anios;4746
Valencia;2014;Hombres;41_50_anios;4825
Valencia;2013;Hombres;41_50_anios;4748
Valencia;2019;Hombres;51_60_anios;3019
Valencia;2018;Hombres;51_60_anios;2898
Valencia;2017;Hombres;51_60_anios;2750
Valencia;2016;Hombres;51_60_anios;2445
Valencia;2015;Hombres;51_60_anios;1897
Valencia;2014;Hombres;51_60_anios;1873
Valencia;2013;Hombres;51_60_anios;1814
Valencia;2019;Hombres;61_70_anios;1060
Valencia;2018;Hombres;61_70_anios;981
Valencia;2017;Hombres;61_70_anios;885
Valencia;2016;Hombres;61_70_anios;772
Valencia;2015;Hombres;61_70_anios;613
Valencia;2014;Hombres;61_70_anios;562
Valencia;2013;Hombres;61_70_anios;517
Valencia;2019;Hombres;mayor_70_anios;322
Valencia;2018;Hombres;mayor_70_anios;315
Valencia;2017;Hombres;mayor_70_anios;306
Valencia;2016;Hombres;mayor_70_anios;270
Valencia;2015;Hombres;mayor_70_anios;162
Valencia;2014;Hombres;mayor_70_anios;124
Valencia;2013;Hombres;mayor_70_anios;134
Valencia;2019;Mujeres;Total;8050
Valencia;2018;Mujeres;Total;7878
Valencia;2017;Mujeres;Total;7329
Valencia;2016;Mujeres;Total;6673
Valencia;2015;Mujeres;Total;4395
Valencia;2014;Mujeres;Total;3839
Valencia;2013;Mujeres;Total;3532
Valencia;2019;Mujeres;18_20_anios;747
Valencia;2018;Mujeres;18_20_anios;732
Valencia;2017;Mujeres;18_20_anios;749
Valencia;2016;Mujeres;18_20_anios;594
Valencia;2015;Mujeres;18_20_anios;410
Valencia;2014;Mujeres;18_20_anios;338
Valencia;2013;Mujeres;18_20_anios;300
Valencia;2019;Mujeres;21_25_anios;1090
Valencia;2018;Mujeres;21_25_anios;1146
Valencia;2017;Mujeres;21_25_anios;1065
Valencia;2016;Mujeres;21_25_anios;1006
Valencia;2015;Mujeres;21_25_anios;724
Valencia;2014;Mujeres;21_25_anios;630
Valencia;2013;Mujeres;21_25_anios;601
Valencia;2019;Mujeres;26_30_anios;1014
Valencia;2018;Mujeres;26_30_anios;1058
Valencia;2017;Mujeres;26_30_anios;993
Valencia;2016;Mujeres;26_30_anios;962
Valencia;2015;Mujeres;26_30_anios;679
Valencia;2014;Mujeres;26_30_anios;632
Valencia;2013;Mujeres;26_30_anios;598
Valencia;2019;Mujeres;31_35_anios;1137
Valencia;2018;Mujeres;31_35_anios;1136
Valencia;2017;Mujeres;31_35_anios;1072
Valencia;2016;Mujeres;31_35_anios;1045
Valencia;2015;Mujeres;31_35_anios;727
Valencia;2014;Mujeres;31_35_anios;633
Valencia;2013;Mujeres;31_35_anios;592
Valencia;2019;Mujeres;36_40_anios;1130
Valencia;2018;Mujeres;36_40_anios;1139
Valencia;2017;Mujeres;36_40_anios;1034
Valencia;2016;Mujeres;36_40_anios;910
Valencia;2015;Mujeres;36_40_anios;570
Valencia;2014;Mujeres;36_40_anios;525
Valencia;2013;Mujeres;36_40_anios;501
Valencia;2019;Mujeres;41_50_anios;1696
Valencia;2018;Mujeres;41_50_anios;1602
Valencia;2017;Mujeres;41_50_anios;1414
Valencia;2016;Mujeres;41_50_anios;1304
Valencia;2015;Mujeres;41_50_anios;846
Valencia;2014;Mujeres;41_50_anios;697
Valencia;2013;Mujeres;41_50_anios;628
Valencia;2019;Mujeres;51_60_anios;820
Valencia;2018;Mujeres;51_60_anios;704
Valencia;2017;Mujeres;51_60_anios;675
Valencia;2016;Mujeres;51_60_anios;593
Valencia;2015;Mujeres;51_60_anios;315
Valencia;2014;Mujeres;51_60_anios;273
Valencia;2013;Mujeres;51_60_anios;225
Valencia;2019;Mujeres;61_70_anios;318
Valencia;2018;Mujeres;61_70_anios;266
Valencia;2017;Mujeres;61_70_anios;253
Valencia;2016;Mujeres;61_70_anios;205
Valencia;2015;Mujeres;61_70_anios;91
Valencia;2014;Mujeres;61_70_anios;85
Valencia;2013;Mujeres;61_70_anios;71
Valencia;2019;Mujeres;mayor_70_anios;98
Valencia;2018;Mujeres;mayor_70_anios;95
Valencia;2017;Mujeres;mayor_70_anios;74
Valencia;2016;Mujeres;mayor_70_anios;54
Valencia;2015;Mujeres;mayor_70_anios;33
Valencia;2014;Mujeres;mayor_70_anios;26
Valencia;2013;Mujeres;mayor_70_anios;16
Extremadura;2019;Total;Total;5073
Extremadura;2018;Total;Total;5381
Extremadura;2017;Total;Total;5502
Extremadura;2016;Total;Total;5769
Extremadura;2015;Total;Total;5076
Extremadura;2014;Total;Total;4910
Extremadura;2013;Total;Total;4806
Extremadura;2019;Total;18_20_anios;368
Extremadura;2018;Total;18_20_anios;434
Extremadura;2017;Total;18_20_anios;465
Extremadura;2016;Total;18_20_anios;498
Extremadura;2015;Total;18_20_anios;469
Extremadura;2014;Total;18_20_anios;459
Extremadura;2013;Total;18_20_anios;424
Extremadura;2019;Total;21_25_anios;676
Extremadura;2018;Total;21_25_anios;735
Extremadura;2017;Total;21_25_anios;779
Extremadura;2016;Total;21_25_anios;808
Extremadura;2015;Total;21_25_anios;791
Extremadura;2014;Total;21_25_anios;773
Extremadura;2013;Total;21_25_anios;752
Extremadura;2019;Total;26_30_anios;644
Extremadura;2018;Total;26_30_anios;711
Extremadura;2017;Total;26_30_anios;742
Extremadura;2016;Total;26_30_anios;801
Extremadura;2015;Total;26_30_anios;730
Extremadura;2014;Total;26_30_anios;698
Extremadura;2013;Total;26_30_anios;685
Extremadura;2019;Total;31_35_anios;639
Extremadura;2018;Total;31_35_anios;664
Extremadura;2017;Total;31_35_anios;682
Extremadura;2016;Total;31_35_anios;759
Extremadura;2015;Total;31_35_anios;657
Extremadura;2014;Total;31_35_anios;669
Extremadura;2013;Total;31_35_anios;663
Extremadura;2019;Total;36_40_anios;635
Extremadura;2018;Total;36_40_anios;703
Extremadura;2017;Total;36_40_anios;726
Extremadura;2016;Total;36_40_anios;742
Extremadura;2015;Total;36_40_anios;661
Extremadura;2014;Total;36_40_anios;644
Extremadura;2013;Total;36_40_anios;641
Extremadura;2019;Total;41_50_anios;1108
Extremadura;2018;Total;41_50_anios;1181
Extremadura;2017;Total;41_50_anios;1170
Extremadura;2016;Total;41_50_anios;1257
Extremadura;2015;Total;41_50_anios;1029
Extremadura;2014;Total;41_50_anios;1035
Extremadura;2013;Total;41_50_anios;1033
Extremadura;2019;Total;51_60_anios;675
Extremadura;2018;Total;51_60_anios;657
Extremadura;2017;Total;51_60_anios;654
Extremadura;2016;Total;51_60_anios;621
Extremadura;2015;Total;51_60_anios;522
Extremadura;2014;Total;51_60_anios;483
Extremadura;2013;Total;51_60_anios;441
Extremadura;2019;Total;61_70_anios;260
Extremadura;2018;Total;61_70_anios;235
Extremadura;2017;Total;61_70_anios;231
Extremadura;2016;Total;61_70_anios;215
Extremadura;2015;Total;61_70_anios;171
Extremadura;2014;Total;61_70_anios;117
Extremadura;2013;Total;61_70_anios;137
Extremadura;2019;Total;mayor_70_anios;68
Extremadura;2018;Total;mayor_70_anios;61
Extremadura;2017;Total;mayor_70_anios;53
Extremadura;2016;Total;mayor_70_anios;68
Extremadura;2015;Total;mayor_70_anios;46
Extremadura;2014;Total;mayor_70_anios;32
Extremadura;2013;Total;mayor_70_anios;30
Extremadura;2019;Hombres;Total;4095
Extremadura;2018;Hombres;Total;4387
Extremadura;2017;Hombres;Total;4456
Extremadura;2016;Hombres;Total;4669
Extremadura;2015;Hombres;Total;4384
Extremadura;2014;Hombres;Total;4323
Extremadura;2013;Hombres;Total;4322
Extremadura;2019;Hombres;18_20_anios;276
Extremadura;2018;Hombres;18_20_anios;344
Extremadura;2017;Hombres;18_20_anios;362
Extremadura;2016;Hombres;18_20_anios;384
Extremadura;2015;Hombres;18_20_anios;408
Extremadura;2014;Hombres;18_20_anios;408
Extremadura;2013;Hombres;18_20_anios;373
Extremadura;2019;Hombres;21_25_anios;542
Extremadura;2018;Hombres;21_25_anios;582
Extremadura;2017;Hombres;21_25_anios;641
Extremadura;2016;Hombres;21_25_anios;640
Extremadura;2015;Hombres;21_25_anios;690
Extremadura;2014;Hombres;21_25_anios;658
Extremadura;2013;Hombres;21_25_anios;677
Extremadura;2019;Hombres;26_30_anios;501
Extremadura;2018;Hombres;26_30_anios;555
Extremadura;2017;Hombres;26_30_anios;598
Extremadura;2016;Hombres;26_30_anios;644
Extremadura;2015;Hombres;26_30_anios;632
Extremadura;2014;Hombres;26_30_anios;604
Extremadura;2013;Hombres;26_30_anios;602
Extremadura;2019;Hombres;31_35_anios;530
Extremadura;2018;Hombres;31_35_anios;543
Extremadura;2017;Hombres;31_35_anios;536
Extremadura;2016;Hombres;31_35_anios;607
Extremadura;2015;Hombres;31_35_anios;567
Extremadura;2014;Hombres;31_35_anios;587
Extremadura;2013;Hombres;31_35_anios;590
Extremadura;2019;Hombres;36_40_anios;521
Extremadura;2018;Hombres;36_40_anios;580
Extremadura;2017;Hombres;36_40_anios;583
Extremadura;2016;Hombres;36_40_anios;601
Extremadura;2015;Hombres;36_40_anios;564
Extremadura;2014;Hombres;36_40_anios;563
Extremadura;2013;Hombres;36_40_anios;578
Extremadura;2019;Hombres;41_50_anios;912
Extremadura;2018;Hombres;41_50_anios;997
Extremadura;2017;Hombres;41_50_anios;983
Extremadura;2016;Hombres;41_50_anios;1051
Extremadura;2015;Hombres;41_50_anios;885
Extremadura;2014;Hombres;41_50_anios;929
Extremadura;2013;Hombres;41_50_anios;935
Extremadura;2019;Hombres;51_60_anios;546
Extremadura;2018;Hombres;51_60_anios;541
Extremadura;2017;Hombres;51_60_anios;528
Extremadura;2016;Hombres;51_60_anios;514
Extremadura;2015;Hombres;51_60_anios;450
Extremadura;2014;Hombres;51_60_anios;437
Extremadura;2013;Hombres;51_60_anios;412
Extremadura;2019;Hombres;61_70_anios;212
Extremadura;2018;Hombres;61_70_anios;192
Extremadura;2017;Hombres;61_70_anios;185
Extremadura;2016;Hombres;61_70_anios;171
Extremadura;2015;Hombres;61_70_anios;145
Extremadura;2014;Hombres;61_70_anios;108
Extremadura;2013;Hombres;61_70_anios;127
Extremadura;2019;Hombres;mayor_70_anios;55
Extremadura;2018;Hombres;mayor_70_anios;53
Extremadura;2017;Hombres;mayor_70_anios;40
Extremadura;2016;Hombres;mayor_70_anios;57
Extremadura;2015;Hombres;mayor_70_anios;43
Extremadura;2014;Hombres;mayor_70_anios;29
Extremadura;2013;Hombres;mayor_70_anios;28
Extremadura;2019;Mujeres;Total;978
Extremadura;2018;Mujeres;Total;994
Extremadura;2017;Mujeres;Total;1046
Extremadura;2016;Mujeres;Total;1100
Extremadura;2015;Mujeres;Total;692
Extremadura;2014;Mujeres;Total;587
Extremadura;2013;Mujeres;Total;484
Extremadura;2019;Mujeres;18_20_anios;92
Extremadura;2018;Mujeres;18_20_anios;90
Extremadura;2017;Mujeres;18_20_anios;103
Extremadura;2016;Mujeres;18_20_anios;114
Extremadura;2015;Mujeres;18_20_anios;61
Extremadura;2014;Mujeres;18_20_anios;51
Extremadura;2013;Mujeres;18_20_anios;51
Extremadura;2019;Mujeres;21_25_anios;134
Extremadura;2018;Mujeres;21_25_anios;153
Extremadura;2017;Mujeres;21_25_anios;138
Extremadura;2016;Mujeres;21_25_anios;168
Extremadura;2015;Mujeres;21_25_anios;101
Extremadura;2014;Mujeres;21_25_anios;115
Extremadura;2013;Mujeres;21_25_anios;75
Extremadura;2019;Mujeres;26_30_anios;143
Extremadura;2018;Mujeres;26_30_anios;156
Extremadura;2017;Mujeres;26_30_anios;144
Extremadura;2016;Mujeres;26_30_anios;157
Extremadura;2015;Mujeres;26_30_anios;98
Extremadura;2014;Mujeres;26_30_anios;94
Extremadura;2013;Mujeres;26_30_anios;83
Extremadura;2019;Mujeres;31_35_anios;109
Extremadura;2018;Mujeres;31_35_anios;121
Extremadura;2017;Mujeres;31_35_anios;146
Extremadura;2016;Mujeres;31_35_anios;152
Extremadura;2015;Mujeres;31_35_anios;90
Extremadura;2014;Mujeres;31_35_anios;82
Extremadura;2013;Mujeres;31_35_anios;73
Extremadura;2019;Mujeres;36_40_anios;114
Extremadura;2018;Mujeres;36_40_anios;123
Extremadura;2017;Mujeres;36_40_anios;143
Extremadura;2016;Mujeres;36_40_anios;141
Extremadura;2015;Mujeres;36_40_anios;97
Extremadura;2014;Mujeres;36_40_anios;81
Extremadura;2013;Mujeres;36_40_anios;63
Extremadura;2019;Mujeres;41_50_anios;196
Extremadura;2018;Mujeres;41_50_anios;184
Extremadura;2017;Mujeres;41_50_anios;187
Extremadura;2016;Mujeres;41_50_anios;206
Extremadura;2015;Mujeres;41_50_anios;144
Extremadura;2014;Mujeres;41_50_anios;106
Extremadura;2013;Mujeres;41_50_anios;98
Extremadura;2019;Mujeres;51_60_anios;129
Extremadura;2018;Mujeres;51_60_anios;116
Extremadura;2017;Mujeres;51_60_anios;126
Extremadura;2016;Mujeres;51_60_anios;107
Extremadura;2015;Mujeres;51_60_anios;72
Extremadura;2014;Mujeres;51_60_anios;46
Extremadura;2013;Mujeres;51_60_anios;29
Extremadura;2019;Mujeres;61_70_anios;48
Extremadura;2018;Mujeres;61_70_anios;43
Extremadura;2017;Mujeres;61_70_anios;46
Extremadura;2016;Mujeres;61_70_anios;44
Extremadura;2015;Mujeres;61_70_anios;26
Extremadura;2014;Mujeres;61_70_anios;9
Extremadura;2013;Mujeres;61_70_anios;10
Extremadura;2019;Mujeres;mayor_70_anios;13
Extremadura;2018;Mujeres;mayor_70_anios;8
Extremadura;2017;Mujeres;mayor_70_anios;13
Extremadura;2016;Mujeres;mayor_70_anios;11
Extremadura;2015;Mujeres;mayor_70_anios;3
Extremadura;2014;Mujeres;mayor_70_anios;3
Extremadura;2013;Mujeres;mayor_70_anios;2
Galicia;2019;Total;Total;13748
Galicia;2018;Total;Total;12295
Galicia;2017;Total;Total;14121
Galicia;2016;Total;Total;13581
Galicia;2015;Total;Total;12150
Galicia;2014;Total;Total;11946
Galicia;2013;Total;Total;11883
Galicia;2019;Total;18_20_anios;909
Galicia;2018;Total;18_20_anios;756
Galicia;2017;Total;18_20_anios;1018
Galicia;2016;Total;18_20_anios;954
Galicia;2015;Total;18_20_anios;838
Galicia;2014;Total;18_20_anios;789
Galicia;2013;Total;18_20_anios;801
Galicia;2019;Total;21_25_anios;1555
Galicia;2018;Total;21_25_anios;1388
Galicia;2017;Total;21_25_anios;1801
Galicia;2016;Total;21_25_anios;1810
Galicia;2015;Total;21_25_anios;1548
Galicia;2014;Total;21_25_anios;1605
Galicia;2013;Total;21_25_anios;1636
Galicia;2019;Total;26_30_anios;1581
Galicia;2018;Total;26_30_anios;1430
Galicia;2017;Total;26_30_anios;1716
Galicia;2016;Total;26_30_anios;1788
Galicia;2015;Total;26_30_anios;1676
Galicia;2014;Total;26_30_anios;1652
Galicia;2013;Total;26_30_anios;1667
Galicia;2019;Total;31_35_anios;1752
Galicia;2018;Total;31_35_anios;1712
Galicia;2017;Total;31_35_anios;1860
Galicia;2016;Total;31_35_anios;1851
Galicia;2015;Total;31_35_anios;1715
Galicia;2014;Total;31_35_anios;1714
Galicia;2013;Total;31_35_anios;1648
Galicia;2019;Total;36_40_anios;1822
Galicia;2018;Total;36_40_anios;1648
Galicia;2017;Total;36_40_anios;1897
Galicia;2016;Total;36_40_anios;1891
Galicia;2015;Total;36_40_anios;1690
Galicia;2014;Total;36_40_anios;1666
Galicia;2013;Total;36_40_anios;1654
Galicia;2019;Total;41_50_anios;3205
Galicia;2018;Total;41_50_anios;2853
Galicia;2017;Total;41_50_anios;3118
Galicia;2016;Total;41_50_anios;2906
Galicia;2015;Total;41_50_anios;2664
Galicia;2014;Total;41_50_anios;2551
Galicia;2013;Total;41_50_anios;2605
Galicia;2019;Total;51_60_anios;1840
Galicia;2018;Total;51_60_anios;1575
Galicia;2017;Total;51_60_anios;1725
Galicia;2016;Total;51_60_anios;1543
Galicia;2015;Total;51_60_anios;1381
Galicia;2014;Total;51_60_anios;1351
Galicia;2013;Total;51_60_anios;1302
Galicia;2019;Total;61_70_anios;769
Galicia;2018;Total;61_70_anios;686
Galicia;2017;Total;61_70_anios;739
Galicia;2016;Total;61_70_anios;631
Galicia;2015;Total;61_70_anios;487
Galicia;2014;Total;61_70_anios;469
Galicia;2013;Total;61_70_anios;438
Galicia;2019;Total;mayor_70_anios;315
Galicia;2018;Total;mayor_70_anios;247
Galicia;2017;Total;mayor_70_anios;247
Galicia;2016;Total;mayor_70_anios;207
Galicia;2015;Total;mayor_70_anios;151
Galicia;2014;Total;mayor_70_anios;149
Galicia;2013;Total;mayor_70_anios;132
Galicia;2019;Hombres;Total;11100
Galicia;2018;Hombres;Total;10127
Galicia;2017;Hombres;Total;11610
Galicia;2016;Hombres;Total;11337
Galicia;2015;Hombres;Total;10622
Galicia;2014;Hombres;Total;10595
Galicia;2013;Hombres;Total;10695
Galicia;2019;Hombres;18_20_anios;692
Galicia;2018;Hombres;18_20_anios;590
Galicia;2017;Hombres;18_20_anios;794
Galicia;2016;Hombres;18_20_anios;766
Galicia;2015;Hombres;18_20_anios;736
Galicia;2014;Hombres;18_20_anios;691
Galicia;2013;Hombres;18_20_anios;715
Galicia;2019;Hombres;21_25_anios;1221
Galicia;2018;Hombres;21_25_anios;1136
Galicia;2017;Hombres;21_25_anios;1455
Galicia;2016;Hombres;21_25_anios;1471
Galicia;2015;Hombres;21_25_anios;1348
Galicia;2014;Hombres;21_25_anios;1416
Galicia;2013;Hombres;21_25_anios;1438
Galicia;2019;Hombres;26_30_anios;1261
Galicia;2018;Hombres;26_30_anios;1170
Galicia;2017;Hombres;26_30_anios;1381
Galicia;2016;Hombres;26_30_anios;1506
Galicia;2015;Hombres;26_30_anios;1432
Galicia;2014;Hombres;26_30_anios;1443
Galicia;2013;Hombres;26_30_anios;1467
Galicia;2019;Hombres;31_35_anios;1413
Galicia;2018;Hombres;31_35_anios;1404
Galicia;2017;Hombres;31_35_anios;1552
Galicia;2016;Hombres;31_35_anios;1515
Galicia;2015;Hombres;31_35_anios;1463
Galicia;2014;Hombres;31_35_anios;1466
Galicia;2013;Hombres;31_35_anios;1476
Galicia;2019;Hombres;36_40_anios;1469
Galicia;2018;Hombres;36_40_anios;1342
Galicia;2017;Hombres;36_40_anios;1580
Galicia;2016;Hombres;36_40_anios;1602
Galicia;2015;Hombres;36_40_anios;1471
Galicia;2014;Hombres;36_40_anios;1482
Galicia;2013;Hombres;36_40_anios;1492
Galicia;2019;Hombres;41_50_anios;2605
Galicia;2018;Hombres;41_50_anios;2373
Galicia;2017;Hombres;41_50_anios;2597
Galicia;2016;Hombres;41_50_anios;2456
Galicia;2015;Hombres;41_50_anios;2340
Galicia;2014;Hombres;41_50_anios;2293
Galicia;2013;Hombres;41_50_anios;2358
Galicia;2019;Hombres;51_60_anios;1543
Galicia;2018;Hombres;51_60_anios;1323
Galicia;2017;Hombres;51_60_anios;1454
Galicia;2016;Hombres;51_60_anios;1315
Galicia;2015;Hombres;51_60_anios;1251
Galicia;2014;Hombres;51_60_anios;1242
Galicia;2013;Hombres;51_60_anios;1215
Galicia;2019;Hombres;61_70_anios;641
Galicia;2018;Hombres;61_70_anios;585
Galicia;2017;Hombres;61_70_anios;602
Galicia;2016;Hombres;61_70_anios;543
Galicia;2015;Hombres;61_70_anios;442
Galicia;2014;Hombres;61_70_anios;424
Galicia;2013;Hombres;61_70_anios;412
Galicia;2019;Hombres;mayor_70_anios;255
Galicia;2018;Hombres;mayor_70_anios;204
Galicia;2017;Hombres;mayor_70_anios;195
Galicia;2016;Hombres;mayor_70_anios;163
Galicia;2015;Hombres;mayor_70_anios;139
Galicia;2014;Hombres;mayor_70_anios;138
Galicia;2013;Hombres;mayor_70_anios;122
Galicia;2019;Mujeres;Total;2648
Galicia;2018;Mujeres;Total;2168
Galicia;2017;Mujeres;Total;2511
Galicia;2016;Mujeres;Total;2244
Galicia;2015;Mujeres;Total;1528
Galicia;2014;Mujeres;Total;1351
Galicia;2013;Mujeres;Total;1188
Galicia;2019;Mujeres;18_20_anios;217
Galicia;2018;Mujeres;18_20_anios;166
Galicia;2017;Mujeres;18_20_anios;224
Galicia;2016;Mujeres;18_20_anios;188
Galicia;2015;Mujeres;18_20_anios;102
Galicia;2014;Mujeres;18_20_anios;98
Galicia;2013;Mujeres;18_20_anios;86
Galicia;2019;Mujeres;21_25_anios;334
Galicia;2018;Mujeres;21_25_anios;252
Galicia;2017;Mujeres;21_25_anios;346
Galicia;2016;Mujeres;21_25_anios;339
Galicia;2015;Mujeres;21_25_anios;200
Galicia;2014;Mujeres;21_25_anios;189
Galicia;2013;Mujeres;21_25_anios;198
Galicia;2019;Mujeres;26_30_anios;320
Galicia;2018;Mujeres;26_30_anios;260
Galicia;2017;Mujeres;26_30_anios;335
Galicia;2016;Mujeres;26_30_anios;282
Galicia;2015;Mujeres;26_30_anios;244
Galicia;2014;Mujeres;26_30_anios;209
Galicia;2013;Mujeres;26_30_anios;200
Galicia;2019;Mujeres;31_35_anios;339
Galicia;2018;Mujeres;31_35_anios;308
Galicia;2017;Mujeres;31_35_anios;308
Galicia;2016;Mujeres;31_35_anios;336
Galicia;2015;Mujeres;31_35_anios;252
Galicia;2014;Mujeres;31_35_anios;248
Galicia;2013;Mujeres;31_35_anios;172
Galicia;2019;Mujeres;36_40_anios;353
Galicia;2018;Mujeres;36_40_anios;306
Galicia;2017;Mujeres;36_40_anios;317
Galicia;2016;Mujeres;36_40_anios;289
Galicia;2015;Mujeres;36_40_anios;219
Galicia;2014;Mujeres;36_40_anios;184
Galicia;2013;Mujeres;36_40_anios;162
Galicia;2019;Mujeres;41_50_anios;600
Galicia;2018;Mujeres;41_50_anios;480
Galicia;2017;Mujeres;41_50_anios;521
Galicia;2016;Mujeres;41_50_anios;450
Galicia;2015;Mujeres;41_50_anios;324
Galicia;2014;Mujeres;41_50_anios;258
Galicia;2013;Mujeres;41_50_anios;247
Galicia;2019;Mujeres;51_60_anios;297
Galicia;2018;Mujeres;51_60_anios;252
Galicia;2017;Mujeres;51_60_anios;271
Galicia;2016;Mujeres;51_60_anios;228
Galicia;2015;Mujeres;51_60_anios;130
Galicia;2014;Mujeres;51_60_anios;109
Galicia;2013;Mujeres;51_60_anios;87
Galicia;2019;Mujeres;61_70_anios;128
Galicia;2018;Mujeres;61_70_anios;101
Galicia;2017;Mujeres;61_70_anios;137
Galicia;2016;Mujeres;61_70_anios;88
Galicia;2015;Mujeres;61_70_anios;45
Galicia;2014;Mujeres;61_70_anios;45
Galicia;2013;Mujeres;61_70_anios;26
Galicia;2019;Mujeres;mayor_70_anios;60
Galicia;2018;Mujeres;mayor_70_anios;43
Galicia;2017;Mujeres;mayor_70_anios;52
Galicia;2016;Mujeres;mayor_70_anios;44
Galicia;2015;Mujeres;mayor_70_anios;12
Galicia;2014;Mujeres;mayor_70_anios;11
Galicia;2013;Mujeres;mayor_70_anios;10
Madrid;2019;Total;Total;38169
Madrid;2018;Total;Total;39667
Madrid;2017;Total;Total;39408
Madrid;2016;Total;Total;35182
Madrid;2015;Total;Total;26973
Madrid;2014;Total;Total;26960
