Comunidades autónomas;Tipo de delito;Total
Andalucía;Total;20.652
Andalucía;Homicidio y formas;68
Andalucía;Del Aborto;1
Andalucía;De las lesiones;738
Andalucía;De las lesiones al feto;2
Andalucía;Relativos a la manipulación genetica;0
Andalucía;Contra la libertad;114
Andalucía;De las torturas y otros delitos contra la integirdad moral;0
Andalucía;Contra la libertad e indemnidad sexuales;160
Andalucía;De la omisión del deber de socorro;3
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;10
Andalucía;Contra el honor;8
Andalucía;Contra las relaciones familiares;320
Andalucía;Contra el patrimonio y el orden socioeconomico;8.652
Andalucía;Contra la hacienda publica y la Seg.social;61
Andalucía;Contra los derechos de los trabajadores;46
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;54
Andalucía;Contra la seguridad colectiva;7.386
Andalucía;De las falsedades;347
Andalucía;Contra la Administración Pública;40
Andalucía;Contra la administración de justicia;512
Andalucía;Contra la Constitución;29
Andalucía;Contra el orden público;682
Andalucía;delitos de traición y contra la paz o independencia;2
Andalucía;Contra la comunidad internacional;0
Andalucía;Concurso de delitos;1.275
Andalucía;No consta;142
Aragón;Total;2.300
Aragón;Homicidio y formas;8
Aragón;Del Aborto;0
Aragón;De las lesiones;160
Aragón;De las lesiones al feto;1
Aragón;Relativos a la manipulación genetica;0
Aragón;Contra la libertad;28
Aragón;De las torturas y otros delitos contra la integirdad moral;0
Aragón;Contra la libertad e indemnidad sexuales;19
Aragón;De la omisión del deber de socorro;0
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Aragón;Contra el honor;0
Aragón;Contra las relaciones familiares;54
Aragón;Contra el patrimonio y el orden socioeconomico;829
Aragón;Contra la hacienda publica y la Seg.social;3
Aragón;Contra los derechos de los trabajadores;2
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;16
Aragón;Contra la seguridad colectiva;718
Aragón;De las falsedades;83
Aragón;Contra la Administración Pública;3
Aragón;Contra la administración de justicia;63
Aragón;Contra la Constitución;1
Aragón;Contra el orden público;78
Aragón;delitos de traición y contra la paz o independencia;0
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;224
Aragón;No consta;10
Asturias;Total;2.777
Asturias;Homicidio y formas;13
Asturias;Del Aborto;0
Asturias;De las lesiones;137
Asturias;De las lesiones al feto;0
Asturias;Relativos a la manipulación genetica;0
Asturias;Contra la libertad;14
