Comunidad autónoma;Tipo de delito;Total
Canarias;delitos de traición y contra la paz o independencia;0
Canarias;Contra la comunidad internacional;0
Canarias;Concurso de delitos;350
Cantabria;Total;1.327
Cantabria;Homicidio y formas;3
Cantabria;Del Aborto;0
Cantabria;De las lesiones;242
Cantabria;De las lesiones al feto;0
Cantabria;Relativos a la manipulación genética;0
Cantabria;Contra la libertad;34
Cantabria;De las torturas y otros delitos contra la integirdad moral;41
Cantabria;Contra la libertad e indemnidad sexuales;16
Cantabria;De la omisión del deber de socorro;1
Cantabria;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Cantabria;Contra el honor;0
Cantabria;Contra las relaciones familiares;8
Cantabria;Contra el patrimonio y el orden socioeconomico;273
Cantabria;Contra la hacienda publica y la Seg.social;2
Cantabria;Contra los derechos de los trabajadores;1
Cantabria;Relativos a la ord. territorio y protección pat. y medio amb;0
Cantabria;Contra la seguridad colectiva;434
Cantabria;De las falsedades;15
Cantabria;Contra la Administración Pública;0
Cantabria;Contra la administración de justicia;77
Cantabria;Contra la Constitución;0
Cantabria;Contra el orden público;48
Cantabria;delitos de traición y contra la paz o independencia;0
Cantabria;Contra la comunidad internacional;0
Cantabria;Concurso de delitos;132
Castilla y León;Total;5.727
Castilla y León;Homicidio y formas;35
Castilla y León;Del Aborto;2
Castilla y León;De las lesiones;1.100
Castilla y León;De las lesiones al feto;0
Castilla y León;Relativos a la manipulación genética;0
Castilla y León;Contra la libertad;166
Castilla y León;De las torturas y otros delitos contra la integirdad moral;93
Castilla y León;Contra la libertad e indemnidad sexuales;80
Castilla y León;De la omisión del deber de socorro;3
Castilla y León;Contra la intimidad, derecho a la propia imagen e inviolabil;4
Castilla y León;Contra el honor;5
Castilla y León;Contra las relaciones familiares;155
Castilla y León;Contra el patrimonio y el orden socioeconomico;1.203
Castilla y León;Contra la hacienda publica y la Seg.social;14
Castilla y León;Contra los derechos de los trabajadores;21
Castilla y León;Relativos a la ord. territorio y protección pat. y medio amb;8
Castilla y León;Contra la seguridad colectiva;1.640
Castilla y León;De las falsedades;119
Castilla y León;Contra la Administración Pública;8
Castilla y León;Contra la administración de justicia;381
Castilla y León;Contra la Constitución;1
Castilla y León;Contra el orden público;256
Castilla y León;delitos de traición y contra la paz o independencia;0
Castilla y León;Contra la comunidad internacional;0
Castilla y León;Concurso de delitos;433
Castilla-La Mancha;Total;4.855
Castilla-La Mancha;Homicidio y formas;26
Castilla-La Mancha;Del Aborto;2
Castilla-La Mancha;De las lesiones;1.037
Castilla-La Mancha;De las lesiones al feto;0
Castilla-La Mancha;Relativos a la manipulación genética;0
Castilla-La Mancha;Contra la libertad;133
Castilla-La Mancha;De las torturas y otros delitos contra la integirdad moral;73
Castilla-La Mancha;Contra la libertad e indemnidad sexuales;52
Castilla-La Mancha;De la omisión del deber de socorro;2
Castilla-La Mancha;Contra la intimidad, derecho a la propia imagen e inviolabil;9
Castilla-La Mancha;Contra el honor;5
Castilla-La Mancha;Contra las relaciones familiares;132
Castilla-La Mancha;Contra el patrimonio y el orden socioeconomico;956
Castilla-La Mancha;Contra la hacienda publica y la Seg.social;15
Castilla-La Mancha;Contra los derechos de los trabajadores;17
Castilla-La Mancha;Relativos a la ord. territorio y protección pat. y medio amb;9
Castilla-La Mancha;Contra la seguridad colectiva;1.419
Castilla-La Mancha;De las falsedades;91
Castilla-La Mancha;Contra la Administración Pública;2
Castilla-La Mancha;Contra la administración de justicia;322
Castilla-La Mancha;Contra la Constitución;5
Castilla-La Mancha;Contra el orden público;175
Castilla-La Mancha;delitos de traición y contra la paz o independencia;0
Castilla-La Mancha;Contra la comunidad internacional;0
Castilla-La Mancha;Concurso de delitos;373
Cataluña;Total;23.087
Cataluña;Homicidio y formas;83
Cataluña;Del Aborto;0
Cataluña;De las lesiones;3.750
Cataluña;De las lesiones al feto;2
Cataluña;Relativos a la manipulación genética;0
Cataluña;Contra la libertad;488
Cataluña;De las torturas y otros delitos contra la integirdad moral;222
Cataluña;Contra la libertad e indemnidad sexuales;191
Cataluña;De la omisión del deber de socorro;9
Cataluña;Contra la intimidad, derecho a la propia imagen e inviolabil;15
Cataluña;Contra el honor;10
Cataluña;Contra las relaciones familiares;443
Cataluña;Contra el patrimonio y el orden socioeconomico;5.942
Cataluña;Contra la hacienda publica y la Seg.social;45
Cataluña;Contra los derechos de los trabajadores;46
Cataluña;Relativos a la ord. territorio y protección pat. y medio amb;36
Cataluña;Contra la seguridad colectiva;7.262
Cataluña;De las falsedades;380
Cataluña;Contra la Administración Pública;6
Cataluña;Contra la administración de justicia;1.214
Cataluña;Contra la Constitución;44
Cataluña;Contra el orden público;939
Cataluña;delitos de traición y contra la paz o independencia;4
Cataluña;Contra la comunidad internacional;0
Cataluña;Concurso de delitos;1.956
Comunitat Valenciana;Total;16.049
Comunitat Valenciana;Homicidio y formas;46
Comunitat Valenciana;Del Aborto;0
Comunitat Valenciana;De las lesiones;2.549
Comunitat Valenciana;De las lesiones al feto;0
Comunitat Valenciana;Relativos a la manipulación genética;1
Comunitat Valenciana;Contra la libertad;386
Comunitat Valenciana;De las torturas y otros delitos contra la integirdad moral;285
Comunitat Valenciana;Contra la libertad e indemnidad sexuales;157
Comunitat Valenciana;De la omisión del deber de socorro;2
Comunitat Valenciana;Contra la intimidad, derecho a la propia imagen e inviolabil;8
Comunitat Valenciana;Contra el honor;6
Comunitat Valenciana;Contra las relaciones familiares;371
Comunitat Valenciana;Contra el patrimonio y el orden socioeconomico;4.434
Comunitat Valenciana;Contra la hacienda publica y la Seg.social;14
Comunitat Valenciana;Contra los derechos de los trabajadores;39
Comunitat Valenciana;Relativos a la ord. territorio y protección pat. y medio amb;21
Comunitat Valenciana;Contra la seguridad colectiva;4.625
Comunitat Valenciana;De las falsedades;275
Comunitat Valenciana;Contra la Administración Pública;6
Comunitat Valenciana;Contra la administración de justicia;853
Comunitat Valenciana;Contra la Constitución;0
Comunitat Valenciana;Contra el orden público;603
Comunitat Valenciana;delitos de traición y contra la paz o independencia;0
Comunitat Valenciana;Contra la comunidad internacional;0
Comunitat Valenciana;Concurso de delitos;1.368
Extremadura;Total;2.860
Extremadura;Homicidio y formas;16
Extremadura;Del Aborto;0
Extremadura;De las lesiones;530
Extremadura;De las lesiones al feto;0
Extremadura;Relativos a la manipulación genética;0
Extremadura;Contra la libertad;100
Extremadura;De las torturas y otros delitos contra la integirdad moral;128
Extremadura;Contra la libertad e indemnidad sexuales;26
Extremadura;De la omisión del deber de socorro;0
Extremadura;Contra la intimidad, derecho a la propia imagen e inviolabil;1
Extremadura;Contra el honor;0
Extremadura;Contra las relaciones familiares;102
Extremadura;Contra el patrimonio y el orden socioeconomico;815
Extremadura;Contra la hacienda publica y la Seg.social;3
Extremadura;Contra los derechos de los trabajadores;3
Extremadura;Relativos a la ord. territorio y protección pat. y medio amb;38
Extremadura;Contra la seguridad colectiva;629
Extremadura;De las falsedades;51
Extremadura;Contra la Administración Pública;0
Extremadura;Contra la administración de justicia;177
Extremadura;Contra la Constitución;0
Extremadura;Contra el orden público;113
Extremadura;delitos de traición y contra la paz o independencia;0
Extremadura;Contra la comunidad internacional;0
Extremadura;Concurso de delitos;128
Galicia;Total;8.893
Galicia;Homicidio y formas;30
Galicia;Del Aborto;0
Galicia;De las lesiones;1.469
Galicia;De las lesiones al feto;0
Galicia;Relativos a la manipulación genética;0
Galicia;Contra la libertad;183
Galicia;De las torturas y otros delitos contra la integirdad moral;141
Galicia;Contra la libertad e indemnidad sexuales;78
Galicia;De la omisión del deber de socorro;1
Galicia;Contra la intimidad, derecho a la propia imagen e inviolabil;4
Galicia;Contra el honor;5
Galicia;Contra las relaciones familiares;210
Galicia;Contra el patrimonio y el orden socioeconomico;1.992
Galicia;Contra la hacienda publica y la Seg.social;12
Galicia;Contra los derechos de los trabajadores;42
Galicia;Relativos a la ord. territorio y protección pat. y medio amb;6
Galicia;Contra la seguridad colectiva;2.891
Galicia;De las falsedades;110
Galicia;Contra la Administración Pública;6
Galicia;Contra la administración de justicia;586
Galicia;Contra la Constitución;1
Galicia;Contra el orden público;413
Galicia;delitos de traición y contra la paz o independencia;0
Galicia;Contra la comunidad internacional;0
Galicia;Concurso de delitos;713
Madrid (Comunidad de);Total;14.713
Madrid (Comunidad de);Homicidio y formas;57
Madrid (Comunidad de);Del Aborto;0
Madrid (Comunidad de);De las lesiones;2.431
Madrid (Comunidad de);De las lesiones al feto;0
Madrid (Comunidad de);Relativos a la manipulación genética;0
Madrid (Comunidad de);Contra la libertad;293
Madrid (Comunidad de);De las torturas y otros delitos contra la integirdad moral;198
Madrid (Comunidad de);Contra la libertad e indemnidad sexuales;125
Madrid (Comunidad de);De la omisión del deber de socorro;3
Madrid (Comunidad de);Contra la intimidad, derecho a la propia imagen e inviolabil;9
Madrid (Comunidad de);Contra el honor;3
Madrid (Comunidad de);Contra las relaciones familiares;231
Madrid (Comunidad de);Contra el patrimonio y el orden socioeconomico;4.187
Madrid (Comunidad de);Contra la hacienda publica y la Seg.social;31
Madrid (Comunidad de);Contra los derechos de los trabajadores;18
Madrid (Comunidad de);Relativos a la ord. territorio y protección pat. y medio amb;12
Madrid (Comunidad de);Contra la seguridad colectiva;4.639
Madrid (Comunidad de);De las falsedades;316
Madrid (Comunidad de);Contra la Administración Pública;12
Madrid (Comunidad de);Contra la administración de justicia;536
Madrid (Comunidad de);Contra la Constitución;3
Madrid (Comunidad de);Contra el orden público;453
Madrid (Comunidad de);delitos de traición y contra la paz o independencia;1
Madrid (Comunidad de);Contra la comunidad internacional;0
Madrid (Comunidad de);Concurso de delitos;1.155
Murcia (Región de);Total;5.977
Murcia (Región de);Homicidio y formas;40
Murcia (Región de);Del Aborto;0
Murcia (Región de);De las lesiones;874
Murcia (Región de);De las lesiones al feto;0
Murcia (Región de);Relativos a la manipulación genética;0
Murcia (Región de);Contra la libertad;159
Murcia (Región de);De las torturas y otros delitos contra la integirdad moral;134
Murcia (Región de);Contra la libertad e indemnidad sexuales;55
Murcia (Región de);De la omisión del deber de socorro;1
Murcia (Región de);Contra la intimidad, derecho a la propia imagen e inviolabil;2
Murcia (Región de);Contra el honor;1
Murcia (Región de);Contra las relaciones familiares;106
Murcia (Región de);Contra el patrimonio y el orden socioeconomico;1.485
Murcia (Región de);Contra la hacienda publica y la Seg.social;9
Murcia (Región de);Contra los derechos de los trabajadores;20
Murcia (Región de);Relativos a la ord. territorio y protección pat. y medio amb;28
Murcia (Región de);Contra la seguridad colectiva;1.857
Murcia (Región de);De las falsedades;76
Murcia (Región de);Contra la Administración Pública;5
Murcia (Región de);Contra la administración de justicia;297
Murcia (Región de);Contra la Constitución;2
Murcia (Región de);Contra el orden público;331
Murcia (Región de);delitos de traición y contra la paz o independencia;0
Murcia (Región de);Contra la comunidad internacional;0
Murcia (Región de);Concurso de delitos;495
Navarra (Comunidad Foral de);Total;1.782
Navarra (Comunidad Foral de);Homicidio y formas;10
Navarra (Comunidad Foral de);Del Aborto;0
Navarra (Comunidad Foral de);De las lesiones;212
Navarra (Comunidad Foral de);De las lesiones al feto;0
Navarra (Comunidad Foral de);Relativos a la manipulación genética;0
Navarra (Comunidad Foral de);Contra la libertad;14
Navarra (Comunidad Foral de);De las torturas y otros delitos contra la integirdad moral;27
