Tipo de delito;Sexo del infractor;Lugar de condena;Total
Total;Total;Total;278.703
Total;Total;Andalucía;59.019
Total;Total;Aragón;7.097
Total;Total;Asturias, Principado de;6.183
Total;Total;Balears, Illes;8.737
Total;Total;Canarias;17.009
Total;Total;Cantabria;3.972
Total;Total;Castilla y León;10.556
Total;Total;Castilla-La Mancha;10.759
Total;Total;Cataluña;41.815
Total;Total;Comunitat Valenciana;31.779
Total;Total;Extremadura;5.423
Total;Total;Galicia;15.346
Total;Total;Madrid, Comunidad de(1);28.547
Total;Total;Murcia, Región de;12.052
Total;Total;Navarra, Comunidad Foral de;3.587
Total;Total;País Vasco;12.173
Total;Total;Rioja, La;1.859
Total;Total;Ceuta;1.892
Total;Total;Melilla;898
Total;Varón;Total;254.591
Total;Varón;Andalucía;53.845
Total;Varón;Aragón;6.426
Total;Varón;Asturias, Principado de;5.612
Total;Varón;Balears, Illes;7.920
Total;Varón;Canarias;15.655
Total;Varón;Cantabria;3.642
Total;Varón;Castilla y León;9.697
Total;Varón;Castilla-La Mancha;9.994
Total;Varón;Cataluña;38.105
Total;Varón;Comunitat Valenciana;28.818
Total;Varón;Extremadura;4.969
Total;Varón;Galicia;14.169
Total;Varón;Madrid, Comunidad de(1);25.867
Total;Varón;Murcia, Región de;11.133
Total;Varón;Navarra, Comunidad Foral de;3.304
Total;Varón;País Vasco;11.123
Total;Varón;Rioja, La;1.710
Total;Varón;Ceuta;1.761
Total;Varón;Melilla;841
Total;Mujer;Total;24.112
Total;Mujer;Andalucía;5.174
Total;Mujer;Aragón;671
Total;Mujer;Asturias, Principado de;571
Total;Mujer;Balears, Illes;817
Total;Mujer;Canarias;1.354
Total;Mujer;Cantabria;330
Total;Mujer;Castilla y León;859
Total;Mujer;Castilla-La Mancha;765
Total;Mujer;Cataluña;3.710
Total;Mujer;Comunitat Valenciana;2.961
Total;Mujer;Extremadura;454
Total;Mujer;Galicia;1.177
Total;Mujer;Madrid, Comunidad de(1);2.680
Total;Mujer;Murcia, Región de;919
Total;Mujer;Navarra, Comunidad Foral de;283
Total;Mujer;País Vasco;1.050
Total;Mujer;Rioja, La;149
Total;Mujer;Ceuta;131
Total;Mujer;Melilla;57
1. Homicidio y sus formas;Total;Total;1.299
1. Homicidio y sus formas;Total;Andalucía;232
1. Homicidio y sus formas;Total;Aragón;33
1. Homicidio y sus formas;Total;Asturias, Principado de;28
1. Homicidio y sus formas;Total;Balears, Illes;33
1. Homicidio y sus formas;Total;Canarias;77
1. Homicidio y sus formas;Total;Cantabria;16
1. Homicidio y sus formas;Total;Castilla y León;67
1. Homicidio y sus formas;Total;Castilla-La Mancha;76
1. Homicidio y sus formas;Total;Cataluña;213
1. Homicidio y sus formas;Total;Comunitat Valenciana;145
1. Homicidio y sus formas;Total;Extremadura;22
1. Homicidio y sus formas;Total;Galicia;87
1. Homicidio y sus formas;Total;Madrid, Comunidad de(1);152
1. Homicidio y sus formas;Total;Murcia, Región de;53
1. Homicidio y sus formas;Total;Navarra, Comunidad Foral de;19
1. Homicidio y sus formas;Total;País Vasco;32
1. Homicidio y sus formas;Total;Rioja, La;10
1. Homicidio y sus formas;Total;Ceuta;2
1. Homicidio y sus formas;Total;Melilla;2
1. Homicidio y sus formas;Varón;Total;1.206
1. Homicidio y sus formas;Varón;Andalucía;219
1. Homicidio y sus formas;Varón;Aragón;32
1. Homicidio y sus formas;Varón;Asturias, Principado de;25
1. Homicidio y sus formas;Varón;Balears, Illes;31
1. Homicidio y sus formas;Varón;Canarias;73
1. Homicidio y sus formas;Varón;Cantabria;14
1. Homicidio y sus formas;Varón;Castilla y León;65
1. Homicidio y sus formas;Varón;Castilla-La Mancha;68
1. Homicidio y sus formas;Varón;Cataluña;192
1. Homicidio y sus formas;Varón;Comunitat Valenciana;139
1. Homicidio y sus formas;Varón;Extremadura;17
1. Homicidio y sus formas;Varón;Galicia;78
1. Homicidio y sus formas;Varón;Madrid, Comunidad de(1);141
1. Homicidio y sus formas;Varón;Murcia, Región de;52
1. Homicidio y sus formas;Varón;Navarra, Comunidad Foral de;17
1. Homicidio y sus formas;Varón;País Vasco;30
1. Homicidio y sus formas;Varón;Rioja, La;10
1. Homicidio y sus formas;Varón;Ceuta;2
1. Homicidio y sus formas;Varón;Melilla;1
1. Homicidio y sus formas;Mujer;Total;93
1. Homicidio y sus formas;Mujer;Andalucía;13
1. Homicidio y sus formas;Mujer;Aragón;1
1. Homicidio y sus formas;Mujer;Asturias, Principado de;3
1. Homicidio y sus formas;Mujer;Balears, Illes;2
1. Homicidio y sus formas;Mujer;Canarias;4
1. Homicidio y sus formas;Mujer;Cantabria;2
1. Homicidio y sus formas;Mujer;Castilla y León;2
1. Homicidio y sus formas;Mujer;Castilla-La Mancha;8
1. Homicidio y sus formas;Mujer;Cataluña;21
1. Homicidio y sus formas;Mujer;Comunitat Valenciana;6
1. Homicidio y sus formas;Mujer;Extremadura;5
1. Homicidio y sus formas;Mujer;Galicia;9
1. Homicidio y sus formas;Mujer;Madrid, Comunidad de(1);11
1. Homicidio y sus formas;Mujer;Murcia, Región de;1
1. Homicidio y sus formas;Mujer;Navarra, Comunidad Foral de;2
1. Homicidio y sus formas;Mujer;País Vasco;2
1. Homicidio y sus formas;Mujer;Rioja, La;0
1. Homicidio y sus formas;Mujer;Ceuta;0
1. Homicidio y sus formas;Mujer;Melilla;1
2. Aborto;Total;Total;13
2. Aborto;Total;Andalucía;5
2. Aborto;Total;Aragón;0
2. Aborto;Total;Asturias, Principado de;0
2. Aborto;Total;Balears, Illes;0
2. Aborto;Total;Canarias;0
2. Aborto;Total;Cantabria;0
2. Aborto;Total;Castilla y León;1
2. Aborto;Total;Castilla-La Mancha;0
2. Aborto;Total;Cataluña;3
2. Aborto;Total;Comunitat Valenciana;0
2. Aborto;Total;Extremadura;0
2. Aborto;Total;Galicia;0
2. Aborto;Total;Madrid, Comunidad de(1);3
2. Aborto;Total;Murcia, Región de;0
2. Aborto;Total;Navarra, Comunidad Foral de;0
2. Aborto;Total;País Vasco;0
2. Aborto;Total;Rioja, La;0
2. Aborto;Total;Ceuta;0
2. Aborto;Total;Melilla;1
2. Aborto;Varón;Total;5
2. Aborto;Varón;Andalucía;2
2. Aborto;Varón;Aragón;0
2. Aborto;Varón;Asturias, Principado de;0
2. Aborto;Varón;Balears, Illes;0
2. Aborto;Varón;Canarias;0
2. Aborto;Varón;Cantabria;0
2. Aborto;Varón;Castilla y León;1
2. Aborto;Varón;Castilla-La Mancha;0
2. Aborto;Varón;Cataluña;0
2. Aborto;Varón;Comunitat Valenciana;0
2. Aborto;Varón;Extremadura;0
2. Aborto;Varón;Galicia;0
2. Aborto;Varón;Madrid, Comunidad de(1);2
2. Aborto;Varón;Murcia, Región de;0
2. Aborto;Varón;Navarra, Comunidad Foral de;0
2. Aborto;Varón;País Vasco;0
2. Aborto;Varón;Rioja, La;0
2. Aborto;Varón;Ceuta;0
2. Aborto;Varón;Melilla;0
2. Aborto;Mujer;Total;8
2. Aborto;Mujer;Andalucía;3
2. Aborto;Mujer;Aragón;0
2. Aborto;Mujer;Asturias, Principado de;0
2. Aborto;Mujer;Balears, Illes;0
2. Aborto;Mujer;Canarias;0
2. Aborto;Mujer;Cantabria;0
2. Aborto;Mujer;Castilla y León;0
2. Aborto;Mujer;Castilla-La Mancha;0
2. Aborto;Mujer;Cataluña;3
2. Aborto;Mujer;Comunitat Valenciana;0
2. Aborto;Mujer;Extremadura;0
2. Aborto;Mujer;Galicia;0
2. Aborto;Mujer;Madrid, Comunidad de(1);1
2. Aborto;Mujer;Murcia, Región de;0
2. Aborto;Mujer;Navarra, Comunidad Foral de;0
2. Aborto;Mujer;País Vasco;0
2. Aborto;Mujer;Rioja, La;0
2. Aborto;Mujer;Ceuta;0
2. Aborto;Mujer;Melilla;1
3. Lesiones;Total;Total;34.164
3. Lesiones;Total;Andalucía;6.512
3. Lesiones;Total;Aragón;1.130
3. Lesiones;Total;Asturias, Principado de;834
3. Lesiones;Total;Balears, Illes;1.376
3. Lesiones;Total;Canarias;1.622
3. Lesiones;Total;Cantabria;630
3. Lesiones;Total;Castilla y León;1.489
3. Lesiones;Total;Castilla-La Mancha;1.602
3. Lesiones;Total;Cataluña;4.270
3. Lesiones;Total;Comunitat Valenciana;4.000
3. Lesiones;Total;Extremadura;800
3. Lesiones;Total;Galicia;1.941
3. Lesiones;Total;Madrid, Comunidad de(1);3.570
3. Lesiones;Total;Murcia, Región de;1.550
3. Lesiones;Total;Navarra, Comunidad Foral de;449
3. Lesiones;Total;País Vasco;1.982
3. Lesiones;Total;Rioja, La;268
3. Lesiones;Total;Ceuta;75
3. Lesiones;Total;Melilla;64
3. Lesiones;Varón;Total;31.572
3. Lesiones;Varón;Andalucía;6.040
3. Lesiones;Varón;Aragón;1.007
3. Lesiones;Varón;Asturias, Principado de;753
3. Lesiones;Varón;Balears, Illes;1.304
3. Lesiones;Varón;Canarias;1.512
3. Lesiones;Varón;Cantabria;582
3. Lesiones;Varón;Castilla y León;1.382
3. Lesiones;Varón;Castilla-La Mancha;1.469
3. Lesiones;Varón;Cataluña;3.952
3. Lesiones;Varón;Comunitat Valenciana;3.741
3. Lesiones;Varón;Extremadura;730
3. Lesiones;Varón;Galicia;1.767
3. Lesiones;Varón;Madrid, Comunidad de(1);3.316
3. Lesiones;Varón;Murcia, Región de;1.438
3. Lesiones;Varón;Navarra, Comunidad Foral de;420
3. Lesiones;Varón;País Vasco;1.775
3. Lesiones;Varón;Rioja, La;255
3. Lesiones;Varón;Ceuta;69
3. Lesiones;Varón;Melilla;60
3. Lesiones;Mujer;Total;2.592
3. Lesiones;Mujer;Andalucía;472
3. Lesiones;Mujer;Aragón;123
3. Lesiones;Mujer;Asturias, Principado de;81
3. Lesiones;Mujer;Balears, Illes;72
3. Lesiones;Mujer;Canarias;110
3. Lesiones;Mujer;Cantabria;48
3. Lesiones;Mujer;Castilla y León;107
3. Lesiones;Mujer;Castilla-La Mancha;133
3. Lesiones;Mujer;Cataluña;318
3. Lesiones;Mujer;Comunitat Valenciana;259
3. Lesiones;Mujer;Extremadura;70
3. Lesiones;Mujer;Galicia;174
3. Lesiones;Mujer;Madrid, Comunidad de(1);254
3. Lesiones;Mujer;Murcia, Región de;112
3. Lesiones;Mujer;Navarra, Comunidad Foral de;29
3. Lesiones;Mujer;País Vasco;207
3. Lesiones;Mujer;Rioja, La;13
3. Lesiones;Mujer;Ceuta;6
3. Lesiones;Mujer;Melilla;4
4. Lesiones al feto;Total;Total;2
4. Lesiones al feto;Total;Andalucía;1
4. Lesiones al feto;Total;Aragón;0
4. Lesiones al feto;Total;Asturias, Principado de;1
4. Lesiones al feto;Total;Balears, Illes;0
4. Lesiones al feto;Total;Canarias;0
4. Lesiones al feto;Total;Cantabria;0
4. Lesiones al feto;Total;Castilla y León;0
4. Lesiones al feto;Total;Castilla-La Mancha;0
4. Lesiones al feto;Total;Cataluña;0
4. Lesiones al feto;Total;Comunitat Valenciana;0
4. Lesiones al feto;Total;Extremadura;0
4. Lesiones al feto;Total;Galicia;0
4. Lesiones al feto;Total;Madrid, Comunidad de(1);0
4. Lesiones al feto;Total;Murcia, Región de;0
4. Lesiones al feto;Total;Navarra, Comunidad Foral de;0
4. Lesiones al feto;Total;País Vasco;0
4. Lesiones al feto;Total;Rioja, La;0
4. Lesiones al feto;Total;Ceuta;0
4. Lesiones al feto;Total;Melilla;0
4. Lesiones al feto;Varón;Total;2
4. Lesiones al feto;Varón;Andalucía;1
4. Lesiones al feto;Varón;Aragón;0
4. Lesiones al feto;Varón;Asturias, Principado de;1
4. Lesiones al feto;Varón;Balears, Illes;0
4. Lesiones al feto;Varón;Canarias;0
4. Lesiones al feto;Varón;Cantabria;0
4. Lesiones al feto;Varón;Castilla y León;0
4. Lesiones al feto;Varón;Castilla-La Mancha;0
4. Lesiones al feto;Varón;Cataluña;0
4. Lesiones al feto;Varón;Comunitat Valenciana;0
4. Lesiones al feto;Varón;Extremadura;0
4. Lesiones al feto;Varón;Galicia;0
4. Lesiones al feto;Varón;Madrid, Comunidad de(1);0
4. Lesiones al feto;Varón;Murcia, Región de;0
4. Lesiones al feto;Varón;Navarra, Comunidad Foral de;0
4. Lesiones al feto;Varón;País Vasco;0
4. Lesiones al feto;Varón;Rioja, La;0
4. Lesiones al feto;Varón;Ceuta;0
4. Lesiones al feto;Varón;Melilla;0
4. Lesiones al feto;Mujer;Total;0
4. Lesiones al feto;Mujer;Andalucía;0
4. Lesiones al feto;Mujer;Aragón;0
4. Lesiones al feto;Mujer;Asturias, Principado de;0
4. Lesiones al feto;Mujer;Balears, Illes;0
4. Lesiones al feto;Mujer;Canarias;0
4. Lesiones al feto;Mujer;Cantabria;0
4. Lesiones al feto;Mujer;Castilla y León;0
4. Lesiones al feto;Mujer;Castilla-La Mancha;0
4. Lesiones al feto;Mujer;Cataluña;0
4. Lesiones al feto;Mujer;Comunitat Valenciana;0
4. Lesiones al feto;Mujer;Extremadura;0
4. Lesiones al feto;Mujer;Galicia;0
4. Lesiones al feto;Mujer;Madrid, Comunidad de(1);0
4. Lesiones al feto;Mujer;Murcia, Región de;0
4. Lesiones al feto;Mujer;Navarra, Comunidad Foral de;0
4. Lesiones al feto;Mujer;País Vasco;0
4. Lesiones al feto;Mujer;Rioja, La;0
4. Lesiones al feto;Mujer;Ceuta;0
4. Lesiones al feto;Mujer;Melilla;0
6. Contra la libertad;Total;Total;10.822
6. Contra la libertad;Total;Andalucía;2.601
6. Contra la libertad;Total;Aragón;247
6. Contra la libertad;Total;Asturias, Principado de;238
6. Contra la libertad;Total;Balears, Illes;520
6. Contra la libertad;Total;Canarias;527
6. Contra la libertad;Total;Cantabria;86
6. Contra la libertad;Total;Castilla y León;445
6. Contra la libertad;Total;Castilla-La Mancha;468
6. Contra la libertad;Total;Cataluña;1.403
6. Contra la libertad;Total;Comunitat Valenciana;1.385
6. Contra la libertad;Total;Extremadura;255
6. Contra la libertad;Total;Galicia;491
6. Contra la libertad;Total;Madrid, Comunidad de(1);954
6. Contra la libertad;Total;Murcia, Región de;543
6. Contra la libertad;Total;Navarra, Comunidad Foral de;104
6. Contra la libertad;Total;País Vasco;451
6. Contra la libertad;Total;Rioja, La;74
6. Contra la libertad;Total;Ceuta;19
6. Contra la libertad;Total;Melilla;11
6. Contra la libertad;Varón;Total;10.536
6. Contra la libertad;Varón;Andalucía;2.527
6. Contra la libertad;Varón;Aragón;235
6. Contra la libertad;Varón;Asturias, Principado de;231
6. Contra la libertad;Varón;Balears, Illes;512
6. Contra la libertad;Varón;Canarias;509
6. Contra la libertad;Varón;Cantabria;85
6. Contra la libertad;Varón;Castilla y León;435
6. Contra la libertad;Varón;Castilla-La Mancha;457
6. Contra la libertad;Varón;Cataluña;1.371
6. Contra la libertad;Varón;Comunitat Valenciana;1.356
6. Contra la libertad;Varón;Extremadura;245
6. Contra la libertad;Varón;Galicia;480
6. Contra la libertad;Varón;Madrid, Comunidad de(1);927
6. Contra la libertad;Varón;Murcia, Región de;527
6. Contra la libertad;Varón;Navarra, Comunidad Foral de;101
6. Contra la libertad;Varón;País Vasco;437
6. Contra la libertad;Varón;Rioja, La;72
6. Contra la libertad;Varón;Ceuta;19
6. Contra la libertad;Varón;Melilla;10
6. Contra la libertad;Mujer;Total;286
6. Contra la libertad;Mujer;Andalucía;74
6. Contra la libertad;Mujer;Aragón;12
6. Contra la libertad;Mujer;Asturias, Principado de;7
6. Contra la libertad;Mujer;Balears, Illes;8
6. Contra la libertad;Mujer;Canarias;18
6. Contra la libertad;Mujer;Cantabria;1
6. Contra la libertad;Mujer;Castilla y León;10
6. Contra la libertad;Mujer;Castilla-La Mancha;11
6. Contra la libertad;Mujer;Cataluña;32
6. Contra la libertad;Mujer;Comunitat Valenciana;29
6. Contra la libertad;Mujer;Extremadura;10
6. Contra la libertad;Mujer;Galicia;11
6. Contra la libertad;Mujer;Madrid, Comunidad de(1);27
6. Contra la libertad;Mujer;Murcia, Región de;16
6. Contra la libertad;Mujer;Navarra, Comunidad Foral de;3
6. Contra la libertad;Mujer;País Vasco;14
6. Contra la libertad;Mujer;Rioja, La;2
6. Contra la libertad;Mujer;Ceuta;0
6. Contra la libertad;Mujer;Melilla;1
6.1. Detenciones ilegales y secuestro;Total;Total;391
6.1. Detenciones ilegales y secuestro;Total;Andalucía;80
6.1. Detenciones ilegales y secuestro;Total;Aragón;11
6.1. Detenciones ilegales y secuestro;Total;Asturias, Principado de;8
6.1. Detenciones ilegales y secuestro;Total;Balears, Illes;19
6.1. Detenciones ilegales y secuestro;Total;Canarias;12
6.1. Detenciones ilegales y secuestro;Total;Cantabria;1
6.1. Detenciones ilegales y secuestro;Total;Castilla y León;7
6.1. Detenciones ilegales y secuestro;Total;Castilla-La Mancha;10
6.1. Detenciones ilegales y secuestro;Total;Cataluña;74
6.1. Detenciones ilegales y secuestro;Total;Comunitat Valenciana;50
6.1. Detenciones ilegales y secuestro;Total;Extremadura;1
6.1. Detenciones ilegales y secuestro;Total;Galicia;18
6.1. Detenciones ilegales y secuestro;Total;Madrid, Comunidad de(1);63
6.1. Detenciones ilegales y secuestro;Total;Murcia, Región de;18
6.1. Detenciones ilegales y secuestro;Total;Navarra, Comunidad Foral de;5
6.1. Detenciones ilegales y secuestro;Total;País Vasco;9
6.1. Detenciones ilegales y secuestro;Total;Rioja, La;5
6.1. Detenciones ilegales y secuestro;Total;Ceuta;0
6.1. Detenciones ilegales y secuestro;Total;Melilla;0
6.1. Detenciones ilegales y secuestro;Varón;Total;367
6.1. Detenciones ilegales y secuestro;Varón;Andalucía;78
6.1. Detenciones ilegales y secuestro;Varón;Aragón;11
6.1. Detenciones ilegales y secuestro;Varón;Asturias, Principado de;7
6.1. Detenciones ilegales y secuestro;Varón;Balears, Illes;19
6.1. Detenciones ilegales y secuestro;Varón;Canarias;11
6.1. Detenciones ilegales y secuestro;Varón;Cantabria;0
6.1. Detenciones ilegales y secuestro;Varón;Castilla y León;7
6.1. Detenciones ilegales y secuestro;Varón;Castilla-La Mancha;8
6.1. Detenciones ilegales y secuestro;Varón;Cataluña;70
6.1. Detenciones ilegales y secuestro;Varón;Comunitat Valenciana;47
6.1. Detenciones ilegales y secuestro;Varón;Extremadura;1
6.1. Detenciones ilegales y secuestro;Varón;Galicia;18
6.1. Detenciones ilegales y secuestro;Varón;Madrid, Comunidad de(1);54
6.1. Detenciones ilegales y secuestro;Varón;Murcia, Región de;18
