Tipo de delito;Sexo del infractor;Lugar de condena;Total
Total;Total;Total;266.548
Total;Total;Andalucía;53.097
Total;Total;Aragón;6.765
Total;Total;Asturias, Principado de;6.217
Total;Total;Balears, Illes;8.373
Total;Total;Canarias;14.709
Total;Total;Cantabria;3.291
Total;Total;Castilla y León;11.097
Total;Total;Castilla-La Mancha;9.726
Total;Total;Cataluña;41.122
Total;Total;Comunitat Valenciana;32.116
Total;Total;Extremadura;5.493
Total;Total;Galicia;14.404
Total;Total;Madrid, Comunidad de(1);28.529
Total;Total;Murcia, Región de;11.217
Total;Total;Navarra, Comunidad Foral de;3.398
Total;Total;País Vasco;12.272
Total;Total;Rioja, La;2.062
Total;Total;Ceuta;1.800
Total;Total;Melilla;860
Total;Varón;Total;242.165
Total;Varón;Andalucía;48.326
Total;Varón;Aragón;6.160
Total;Varón;Asturias, Principado de;5.579
Total;Varón;Balears, Illes;7.472
Total;Varón;Canarias;13.422
Total;Varón;Cantabria;2.967
Total;Varón;Castilla y León;10.215
Total;Varón;Castilla-La Mancha;8.981
Total;Varón;Cataluña;37.410
Total;Varón;Comunitat Valenciana;28.694
Total;Varón;Extremadura;5.039
Total;Varón;Galicia;13.363
Total;Varón;Madrid, Comunidad de(1);25.750
Total;Varón;Murcia, Región de;10.321
Total;Varón;Navarra, Comunidad Foral de;3.090
Total;Varón;País Vasco;11.109
Total;Varón;Rioja, La;1.879
Total;Varón;Ceuta;1.591
Total;Varón;Melilla;797
Total;Mujer;Total;24.383
Total;Mujer;Andalucía;4.771
Total;Mujer;Aragón;605
Total;Mujer;Asturias, Principado de;638
Total;Mujer;Balears, Illes;901
Total;Mujer;Canarias;1.287
Total;Mujer;Cantabria;324
Total;Mujer;Castilla y León;882
Total;Mujer;Castilla-La Mancha;745
Total;Mujer;Cataluña;3.712
Total;Mujer;Comunitat Valenciana;3.422
Total;Mujer;Extremadura;454
Total;Mujer;Galicia;1.041
Total;Mujer;Madrid, Comunidad de(1);2.779
Total;Mujer;Murcia, Región de;896
Total;Mujer;Navarra, Comunidad Foral de;308
Total;Mujer;País Vasco;1.163
Total;Mujer;Rioja, La;183
Total;Mujer;Ceuta;209
Total;Mujer;Melilla;63
1. Homicidio y sus formas;Total;Total;1.448
1. Homicidio y sus formas;Total;Andalucía;253
1. Homicidio y sus formas;Total;Aragón;33
1. Homicidio y sus formas;Total;Asturias, Principado de;19
1. Homicidio y sus formas;Total;Balears, Illes;31
1. Homicidio y sus formas;Total;Canarias;76
1. Homicidio y sus formas;Total;Cantabria;22
1. Homicidio y sus formas;Total;Castilla y León;70
1. Homicidio y sus formas;Total;Castilla-La Mancha;74
1. Homicidio y sus formas;Total;Cataluña;236
1. Homicidio y sus formas;Total;Comunitat Valenciana;164
1. Homicidio y sus formas;Total;Extremadura;28
1. Homicidio y sus formas;Total;Galicia;92
1. Homicidio y sus formas;Total;Madrid, Comunidad de(1);191
1. Homicidio y sus formas;Total;Murcia, Región de;45
1. Homicidio y sus formas;Total;Navarra, Comunidad Foral de;33
1. Homicidio y sus formas;Total;País Vasco;54
1. Homicidio y sus formas;Total;Rioja, La;20
1. Homicidio y sus formas;Total;Ceuta;2
1. Homicidio y sus formas;Total;Melilla;5
1. Homicidio y sus formas;Varón;Total;1.341
1. Homicidio y sus formas;Varón;Andalucía;239
1. Homicidio y sus formas;Varón;Aragón;28
1. Homicidio y sus formas;Varón;Asturias, Principado de;19
1. Homicidio y sus formas;Varón;Balears, Illes;30
1. Homicidio y sus formas;Varón;Canarias;71
1. Homicidio y sus formas;Varón;Cantabria;21
1. Homicidio y sus formas;Varón;Castilla y León;62
1. Homicidio y sus formas;Varón;Castilla-La Mancha;72
1. Homicidio y sus formas;Varón;Cataluña;215
1. Homicidio y sus formas;Varón;Comunitat Valenciana;153
1. Homicidio y sus formas;Varón;Extremadura;25
1. Homicidio y sus formas;Varón;Galicia;84
1. Homicidio y sus formas;Varón;Madrid, Comunidad de(1);177
1. Homicidio y sus formas;Varón;Murcia, Región de;42
1. Homicidio y sus formas;Varón;Navarra, Comunidad Foral de;29
1. Homicidio y sus formas;Varón;País Vasco;51
1. Homicidio y sus formas;Varón;Rioja, La;17
1. Homicidio y sus formas;Varón;Ceuta;2
1. Homicidio y sus formas;Varón;Melilla;4
1. Homicidio y sus formas;Mujer;Total;107
1. Homicidio y sus formas;Mujer;Andalucía;14
1. Homicidio y sus formas;Mujer;Aragón;5
1. Homicidio y sus formas;Mujer;Asturias, Principado de;0
1. Homicidio y sus formas;Mujer;Balears, Illes;1
1. Homicidio y sus formas;Mujer;Canarias;5
1. Homicidio y sus formas;Mujer;Cantabria;1
1. Homicidio y sus formas;Mujer;Castilla y León;8
1. Homicidio y sus formas;Mujer;Castilla-La Mancha;2
1. Homicidio y sus formas;Mujer;Cataluña;21
1. Homicidio y sus formas;Mujer;Comunitat Valenciana;11
1. Homicidio y sus formas;Mujer;Extremadura;3
1. Homicidio y sus formas;Mujer;Galicia;8
1. Homicidio y sus formas;Mujer;Madrid, Comunidad de(1);14
1. Homicidio y sus formas;Mujer;Murcia, Región de;3
1. Homicidio y sus formas;Mujer;Navarra, Comunidad Foral de;4
1. Homicidio y sus formas;Mujer;País Vasco;3
1. Homicidio y sus formas;Mujer;Rioja, La;3
1. Homicidio y sus formas;Mujer;Ceuta;0
1. Homicidio y sus formas;Mujer;Melilla;1
2. Aborto;Total;Total;14
2. Aborto;Total;Andalucía;3
2. Aborto;Total;Aragón;0
2. Aborto;Total;Asturias, Principado de;0
2. Aborto;Total;Balears, Illes;0
2. Aborto;Total;Canarias;0
2. Aborto;Total;Cantabria;0
2. Aborto;Total;Castilla y León;1
2. Aborto;Total;Castilla-La Mancha;0
2. Aborto;Total;Cataluña;4
2. Aborto;Total;Comunitat Valenciana;2
2. Aborto;Total;Extremadura;0
2. Aborto;Total;Galicia;0
2. Aborto;Total;Madrid, Comunidad de(1);3
2. Aborto;Total;Murcia, Región de;1
2. Aborto;Total;Navarra, Comunidad Foral de;0
2. Aborto;Total;País Vasco;0
2. Aborto;Total;Rioja, La;0
2. Aborto;Total;Ceuta;0
2. Aborto;Total;Melilla;0
2. Aborto;Varón;Total;5
2. Aborto;Varón;Andalucía;2
2. Aborto;Varón;Aragón;0
2. Aborto;Varón;Asturias, Principado de;0
2. Aborto;Varón;Balears, Illes;0
2. Aborto;Varón;Canarias;0
2. Aborto;Varón;Cantabria;0
2. Aborto;Varón;Castilla y León;1
2. Aborto;Varón;Castilla-La Mancha;0
2. Aborto;Varón;Cataluña;2
2. Aborto;Varón;Comunitat Valenciana;0
2. Aborto;Varón;Extremadura;0
2. Aborto;Varón;Galicia;0
2. Aborto;Varón;Madrid, Comunidad de(1);0
2. Aborto;Varón;Murcia, Región de;0
2. Aborto;Varón;Navarra, Comunidad Foral de;0
2. Aborto;Varón;País Vasco;0
2. Aborto;Varón;Rioja, La;0
2. Aborto;Varón;Ceuta;0
2. Aborto;Varón;Melilla;0
2. Aborto;Mujer;Total;9
2. Aborto;Mujer;Andalucía;1
2. Aborto;Mujer;Aragón;0
2. Aborto;Mujer;Asturias, Principado de;0
2. Aborto;Mujer;Balears, Illes;0
2. Aborto;Mujer;Canarias;0
2. Aborto;Mujer;Cantabria;0
2. Aborto;Mujer;Castilla y León;0
2. Aborto;Mujer;Castilla-La Mancha;0
2. Aborto;Mujer;Cataluña;2
2. Aborto;Mujer;Comunitat Valenciana;2
2. Aborto;Mujer;Extremadura;0
2. Aborto;Mujer;Galicia;0
