Comunidades autónomas;Tipo de delito;Total
Andalucía;Total;27.058
Andalucía;Homicidio y formas;103
Andalucía;Del Aborto;0
Andalucía;De las lesiones;3.995
Andalucía;De las lesiones al feto;1
Andalucía;Relativos a la manipulación genetica;0
Andalucía;Contra la libertad;315
Andalucía;De las torturas y otros delitos contra la integirdad moral;373
Andalucía;Contra la libertad e indemnidad sexuales;238
Andalucía;De la omisión del deber de socorro;2
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;30
Andalucía;Contra el honor;28
Andalucía;Contra las relaciones familiares;586
Andalucía;Contra el patrimonio y el orden socioeconomico;8.084
Andalucía;Contra la hacienda publica y la Seg.social;38
Andalucía;Contra los derechos de los trabajadores;185
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;51
Andalucía;Contra la seguridad colectiva;8.086
Andalucía;De las falsedades;363
Andalucía;Contra la Administración Pública;14
Andalucía;Contra la administración de justicia;1.304
Andalucía;Contra la Constitución;2
Andalucía;Contra el orden público;1.305
Andalucía;delitos de traición y contra la paz o independencia;5
Andalucía;Contra la comunidad internacional;0
Andalucía;Concurso de delitos;1.808
Andalucía;No consta;142
Aragón;Total;2.892
Aragón;Homicidio y formas;16
Aragón;Del Aborto;1
Aragón;De las lesiones;548
Aragón;De las lesiones al feto;0
Aragón;Relativos a la manipulación genetica;0
Aragón;Contra la libertad;48
Aragón;De las torturas y otros delitos contra la integirdad moral;31
Aragón;Contra la libertad e indemnidad sexuales;28
Aragón;De la omisión del deber de socorro;0
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Aragón;Contra el honor;2
Aragón;Contra las relaciones familiares;107
Aragón;Contra el patrimonio y el orden socioeconomico;871
Aragón;Contra la hacienda publica y la Seg.social;16
Aragón;Contra los derechos de los trabajadores;2
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;1
Aragón;Contra la seguridad colectiva;575
Aragón;De las falsedades;77
Aragón;Contra la Administración Pública;0
Aragón;Contra la administración de justicia;171
Aragón;Contra la Constitución;1
Aragón;Contra el orden público;198
Aragón;delitos de traición y contra la paz o independencia;0
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;186
Aragón;No consta;11
Asturias;Total;3.719
Asturias;Homicidio y formas;16
Asturias;Del Aborto;0
Asturias;De las lesiones;696
Asturias;De las lesiones al feto;0
Asturias;Relativos a la manipulación genetica;0
Asturias;Contra la libertad;26
Asturias;De las torturas y otros delitos contra la integirdad moral;26
Asturias;Contra la libertad e indemnidad sexuales;30
Asturias;De la omisión del deber de socorro;0
Asturias;Contra la intimidad, derecho a la propia imagen e inviolabil;5
Asturias;Contra el honor;4
Asturias;Contra las relaciones familiares;111
Asturias;Contra el patrimonio y el orden socioeconomico;1.027
Asturias;Contra la hacienda publica y la Seg.social;10
Asturias;Contra los derechos de los trabajadores;1
Asturias;Relativos a la ord. territorio y protección pat. y medio amb;7
Asturias;Contra la seguridad colectiva;1.041
Asturias;De las falsedades;46
Asturias;Contra la Administración Pública;2
Asturias;Contra la administración de justicia;211
Asturias;Contra la Constitución;0
Asturias;Contra el orden público;206
Asturias;delitos de traición y contra la paz o independencia;0
Asturias;Contra la comunidad internacional;0
Asturias;Concurso de delitos;243
Asturias;No consta;11
Baleares (Illes);Total;3.922
Baleares (Illes);Homicidio y formas;11
Baleares (Illes);Del Aborto;0
Baleares (Illes);De las lesiones;483
Baleares (Illes);De las lesiones al feto;2
Baleares (Illes);Relativos a la manipulación genetica;0
Baleares (Illes);Contra la libertad;61
Baleares (Illes);De las torturas y otros delitos contra la integirdad moral;44
Baleares (Illes);Contra la libertad e indemnidad sexuales;39
Baleares (Illes);De la omisión del deber de socorro;0
Baleares (Illes);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Baleares (Illes);Contra el honor;2
Baleares (Illes);Contra las relaciones familiares;93
Baleares (Illes);Contra el patrimonio y el orden socioeconomico;1.451
Baleares (Illes);Contra la hacienda publica y la Seg.social;6
Baleares (Illes);Contra los derechos de los trabajadores;14
Baleares (Illes);Relativos a la ord. territorio y protección pat. y medio amb;8
Baleares (Illes);Contra la seguridad colectiva;1.132
Baleares (Illes);De las falsedades;101
Baleares (Illes);Contra la Administración Pública;0
Baleares (Illes);Contra la administración de justicia;140
Baleares (Illes);Contra la Constitución;2
Baleares (Illes);Contra el orden público;75
Baleares (Illes);delitos de traición y contra la paz o independencia;0
Baleares (Illes);Contra la comunidad internacional;0
Baleares (Illes);Concurso de delitos;247
Baleares (Illes);No consta;11
Canarias;Total;5.734
Canarias;Homicidio y formas;23
Canarias;Del Aborto;0
Canarias;De las lesiones;887
Canarias;De las lesiones al feto;0
Canarias;Relativos a la manipulación genetica;0
Canarias;Contra la libertad;50
Canarias;De las torturas y otros delitos contra la integirdad moral;67
Canarias;Contra la libertad e indemnidad sexuales;51
Canarias;De la omisión del deber de socorro;1
Canarias;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Canarias;Contra el honor;3
Canarias;Contra las relaciones familiares;191
Canarias;Contra el patrimonio y el orden socioeconomico;1.927
Canarias;Contra la hacienda publica y la Seg.social;2
