Comunidades autónomas;Tipo de delito;Total
Andalucía;Total;21.017
Andalucía;Homicidio y formas;78
Andalucía;Del Aborto;0
Andalucía;De las lesiones;912
Andalucía;De las lesiones al feto;2
Andalucía;Relativos a la manipulación genetica;2
Andalucía;Contra la libertad;147
Andalucía;De las torturas y otros delitos contra la integirdad moral;50
Andalucía;Contra la libertad e indemnidad sexuales;186
Andalucía;De la omisión del deber de socorro;1
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;5
Andalucía;Contra el honor;7
Andalucía;Contra las relaciones familiares;398
Andalucía;Contra el patrimonio y el orden socioeconomico;7.868
Andalucía;Contra la hacienda publica y la Seg.social;34
Andalucía;Contra los derechos de los trabajadores;108
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;40
Andalucía;Contra la seguridad colectiva;7.720
Andalucía;De las falsedades;343
Andalucía;Contra la Administración Pública;33
Andalucía;Contra la administración de justicia;562
Andalucía;Contra la Constitución;104
Andalucía;Contra el orden público;857
Andalucía;delitos de traición y contra la paz o independencia;0
Andalucía;Contra la comunidad internacional;0
Andalucía;Concurso de delitos;1.485
Andalucía;No consta;75
Aragón;Total;2.353
Aragón;Homicidio y formas;8
Aragón;Del Aborto;0
Aragón;De las lesiones;183
Aragón;De las lesiones al feto;0
Aragón;Relativos a la manipulación genetica;0
Aragón;Contra la libertad;36
Aragón;De las torturas y otros delitos contra la integirdad moral;24
Aragón;Contra la libertad e indemnidad sexuales;27
Aragón;De la omisión del deber de socorro;0
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;1
Aragón;Contra el honor;1
Aragón;Contra las relaciones familiares;93
Aragón;Contra el patrimonio y el orden socioeconomico;718
Aragón;Contra la hacienda publica y la Seg.social;20
Aragón;Contra los derechos de los trabajadores;5
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;5
Aragón;Contra la seguridad colectiva;732
Aragón;De las falsedades;55
Aragón;Contra la Administración Pública;5
Aragón;Contra la administración de justicia;67
Aragón;Contra la Constitución;54
Aragón;Contra el orden público;138
Aragón;delitos de traición y contra la paz o independencia;1
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;178
Aragón;No consta;2
Asturias;Total;2.323
Asturias;Homicidio y formas;13
Asturias;Del Aborto;0
Asturias;De las lesiones;170
Asturias;De las lesiones al feto;0
Asturias;Relativos a la manipulación genetica;0
Asturias;Contra la libertad;8
Asturias;De las torturas y otros delitos contra la integirdad moral;0
Asturias;Contra la libertad e indemnidad sexuales;24
Asturias;De la omisión del deber de socorro;0
Asturias;Contra la intimidad, derecho a la propia imagen e inviolabil;5
Asturias;Contra el honor;7
Asturias;Contra las relaciones familiares;64
Asturias;Contra el patrimonio y el orden socioeconomico;651
Asturias;Contra la hacienda publica y la Seg.social;2
Asturias;Contra los derechos de los trabajadores;1
Asturias;Relativos a la ord. territorio y protección pat. y medio amb;6
Asturias;Contra la seguridad colectiva;935
Asturias;De las falsedades;34
Asturias;Contra la Administración Pública;5
Asturias;Contra la administración de justicia;76
Asturias;Contra la Constitución;33
Asturias;Contra el orden público;107
Asturias;delitos de traición y contra la paz o independencia;0
Asturias;Contra la comunidad internacional;0
Asturias;Concurso de delitos;174
Asturias;No consta;8
Baleares (Illes);Total;2.686
Baleares (Illes);Homicidio y formas;12
Baleares (Illes);Del Aborto;0
Baleares (Illes);De las lesiones;108
Baleares (Illes);De las lesiones al feto;0
Baleares (Illes);Relativos a la manipulación genetica;0
Baleares (Illes);Contra la libertad;26
Baleares (Illes);De las torturas y otros delitos contra la integirdad moral;0
Baleares (Illes);Contra la libertad e indemnidad sexuales;39
Baleares (Illes);De la omisión del deber de socorro;0
Baleares (Illes);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Baleares (Illes);Contra el honor;0
Baleares (Illes);Contra las relaciones familiares;67
Baleares (Illes);Contra el patrimonio y el orden socioeconomico;995
Baleares (Illes);Contra la hacienda publica y la Seg.social;0
Baleares (Illes);Contra los derechos de los trabajadores;1
Baleares (Illes);Relativos a la ord. territorio y protección pat. y medio amb;4
Baleares (Illes);Contra la seguridad colectiva;1.073
Baleares (Illes);De las falsedades;39
Baleares (Illes);Contra la Administración Pública;1
Baleares (Illes);Contra la administración de justicia;53
Baleares (Illes);Contra la Constitución;20
Baleares (Illes);Contra el orden público;40
Baleares (Illes);delitos de traición y contra la paz o independencia;0
Baleares (Illes);Contra la comunidad internacional;0
Baleares (Illes);Concurso de delitos;200
Baleares (Illes);No consta;8
Canarias;Total;3.824
Canarias;Homicidio y formas;12
Canarias;Del Aborto;0
Canarias;De las lesiones;168
Canarias;De las lesiones al feto;0
Canarias;Relativos a la manipulación genetica;0
Canarias;Contra la libertad;23
Canarias;De las torturas y otros delitos contra la integirdad moral;8
Canarias;Contra la libertad e indemnidad sexuales;33
Canarias;De la omisión del deber de socorro;1
Canarias;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Canarias;Contra el honor;2
Canarias;Contra las relaciones familiares;106
Canarias;Contra el patrimonio y el orden socioeconomico;1.887
Canarias;Contra la hacienda publica y la Seg.social;1
Canarias;Contra los derechos de los trabajadores;23
Canarias;Relativos a la ord. territorio y protección pat. y medio amb;0
Canarias;Contra la seguridad colectiva;970
Canarias;De las falsedades;85
Canarias;Contra la Administración Pública;4
Canarias;Contra la administración de justicia;89
Canarias;Contra la Constitución;20
Canarias;Contra el orden público;86
Canarias;delitos de traición y contra la paz o independencia;0
Canarias;Contra la comunidad internacional;0
Canarias;Concurso de delitos;302
Canarias;No consta;4
Cantabria;Total;1.041
Cantabria;Homicidio y formas;8
Cantabria;Del Aborto;0
Cantabria;De las lesiones;87
Cantabria;De las lesiones al feto;0
Cantabria;Relativos a la manipulación genetica;0
Cantabria;Contra la libertad;4
Cantabria;De las torturas y otros delitos contra la integirdad moral;0
Cantabria;Contra la libertad e indemnidad sexuales;9
Cantabria;De la omisión del deber de socorro;0
Cantabria;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Cantabria;Contra el honor;0
Cantabria;Contra las relaciones familiares;15
Cantabria;Contra el patrimonio y el orden socioeconomico;248
Cantabria;Contra la hacienda publica y la Seg.social;1
Cantabria;Contra los derechos de los trabajadores;0
Cantabria;Relativos a la ord. territorio y protección pat. y medio amb;0
Cantabria;Contra la seguridad colectiva;468
Cantabria;De las falsedades;44
Cantabria;Contra la Administración Pública;0
Cantabria;Contra la administración de justicia;31
Cantabria;Contra la Constitución;18
Cantabria;Contra el orden público;19
Cantabria;delitos de traición y contra la paz o independencia;0
Cantabria;Contra la comunidad internacional;0
Cantabria;Concurso de delitos;84
Cantabria;No consta;3
Castilla y León;Total;4.835
Castilla y León;Homicidio y formas;30
Castilla y León;Del Aborto;0
Castilla y León;De las lesiones;331
Castilla y León;De las lesiones al feto;1
Castilla y León;Relativos a la manipulación genetica;1
Castilla y León;Contra la libertad;26
Castilla y León;De las torturas y otros delitos contra la integirdad moral;21
Castilla y León;Contra la libertad e indemnidad sexuales;63
Castilla y León;De la omisión del deber de socorro;1
Castilla y León;Contra la intimidad, derecho a la propia imagen e inviolabil;4
Castilla y León;Contra el honor;6
Castilla y León;Contra las relaciones familiares;112
Castilla y León;Contra el patrimonio y el orden socioeconomico;1.562
Castilla y León;Contra la hacienda publica y la Seg.social;24
Castilla y León;Contra los derechos de los trabajadores;5
Castilla y León;Relativos a la ord. territorio y protección pat. y medio amb;7
Castilla y León;Contra la seguridad colectiva;1.676
Castilla y León;De las falsedades;118
Castilla y León;Contra la Administración Pública;15
Castilla y León;Contra la administración de justicia;216
Castilla y León;Contra la Constitución;63
Castilla y León;Contra el orden público;193
Castilla y León;delitos de traición y contra la paz o independencia;0
Castilla y León;Contra la comunidad internacional;0
Castilla y León;Concurso de delitos;343
Castilla y León;No consta;17
Castilla-La Mancha;Total;3.396
Castilla-La Mancha;Homicidio y formas;16
Castilla-La Mancha;Del Aborto;0
Castilla-La Mancha;De las lesiones;264
Castilla-La Mancha;De las lesiones al feto;3
