Tipo de delito;Sexo del infractor;Lugar de condena;Total
Total;Total;Total;275.130
Total;Total;Andalucía;55.167
Total;Total;Aragón;6.529
Total;Total;Asturias, Principado de;6.426
Total;Total;Balears, Illes;8.708
Total;Total;Canarias;13.773
Total;Total;Cantabria;3.413
Total;Total;Castilla y León;12.057
Total;Total;Castilla-La Mancha;10.410
Total;Total;Cataluña;38.198
Total;Total;Comunitat Valenciana;33.526
Total;Total;Extremadura;6.192
Total;Total;Galicia;15.531
Total;Total;Madrid, Comunidad de(1);33.509
Total;Total;Murcia, Región de;10.383
Total;Total;Navarra, Comunidad Foral de;3.735
Total;Total;País Vasco;11.574
Total;Total;Rioja, La;1.854
Total;Total;Ceuta;2.732
Total;Total;Melilla;1.413
Total;Varón;Total;247.364
Total;Varón;Andalucía;49.540
Total;Varón;Aragón;5.846
Total;Varón;Asturias, Principado de;5.766
Total;Varón;Balears, Illes;7.725
Total;Varón;Canarias;12.535
Total;Varón;Cantabria;3.045
Total;Varón;Castilla y León;10.928
Total;Varón;Castilla-La Mancha;9.568
Total;Varón;Cataluña;34.449
Total;Varón;Comunitat Valenciana;29.681
Total;Varón;Extremadura;5.593
Total;Varón;Galicia;14.187
Total;Varón;Madrid, Comunidad de(1);29.961
Total;Varón;Murcia, Región de;9.409
Total;Varón;Navarra, Comunidad Foral de;3.350
Total;Varón;País Vasco;10.400
Total;Varón;Rioja, La;1.682
Total;Varón;Ceuta;2.415
Total;Varón;Melilla;1.284
Total;Mujer;Total;27.766
Total;Mujer;Andalucía;5.627
Total;Mujer;Aragón;683
Total;Mujer;Asturias, Principado de;660
Total;Mujer;Balears, Illes;983
Total;Mujer;Canarias;1.238
Total;Mujer;Cantabria;368
Total;Mujer;Castilla y León;1.129
Total;Mujer;Castilla-La Mancha;842
Total;Mujer;Cataluña;3.749
Total;Mujer;Comunitat Valenciana;3.845
Total;Mujer;Extremadura;599
Total;Mujer;Galicia;1.344
Total;Mujer;Madrid, Comunidad de(1);3.548
Total;Mujer;Murcia, Región de;974
Total;Mujer;Navarra, Comunidad Foral de;385
Total;Mujer;País Vasco;1.174
Total;Mujer;Rioja, La;172
Total;Mujer;Ceuta;317
Total;Mujer;Melilla;129
1. Homicidio y sus formas;Total;Total;1.329
1. Homicidio y sus formas;Total;Andalucía;260
1. Homicidio y sus formas;Total;Aragón;23
1. Homicidio y sus formas;Total;Asturias, Principado de;48
1. Homicidio y sus formas;Total;Balears, Illes;54
1. Homicidio y sus formas;Total;Canarias;70
1. Homicidio y sus formas;Total;Cantabria;14
1. Homicidio y sus formas;Total;Castilla y León;50
1. Homicidio y sus formas;Total;Castilla-La Mancha;55
1. Homicidio y sus formas;Total;Cataluña;228
1. Homicidio y sus formas;Total;Comunitat Valenciana;117
1. Homicidio y sus formas;Total;Extremadura;35
1. Homicidio y sus formas;Total;Galicia;86
1. Homicidio y sus formas;Total;Madrid, Comunidad de(1);189
1. Homicidio y sus formas;Total;Murcia, Región de;43
1. Homicidio y sus formas;Total;Navarra, Comunidad Foral de;22
1. Homicidio y sus formas;Total;País Vasco;25
1. Homicidio y sus formas;Total;Rioja, La;6
1. Homicidio y sus formas;Total;Ceuta;0
1. Homicidio y sus formas;Total;Melilla;4
1. Homicidio y sus formas;Varón;Total;1.212
1. Homicidio y sus formas;Varón;Andalucía;238
1. Homicidio y sus formas;Varón;Aragón;20
