Comunidades autónomas;Tipo de delito;Total
Andalucía;Total;24.343
Andalucía;Homicidio y formas;126
Andalucía;Del Aborto;0
Andalucía;De las lesiones;1.487
Andalucía;De las lesiones al feto;6
Andalucía;Relativos a la manipulación genetica;1
Andalucía;Contra la libertad;240
Andalucía;De las torturas y otros delitos contra la integirdad moral;360
Andalucía;Contra la libertad e indemnidad sexuales;218
Andalucía;De la omisión del deber de socorro;9
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;26
Andalucía;Contra el honor;12
Andalucía;Contra las relaciones familiares;505
Andalucía;Contra el patrimonio y el orden socioeconomico;8.621
Andalucía;Contra la hacienda publica y la Seg.social;28
Andalucía;Contra los derechos de los trabajadores;232
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;26
Andalucía;Contra la seguridad colectiva;8.195
Andalucía;De las falsedades;322
Andalucía;Contra la Administración Pública;19
Andalucía;Contra la administración de justicia;896
Andalucía;Contra la Constitución;3
Andalucía;Contra el orden público;1.085
Andalucía;delitos de traición y contra la paz o independencia;1
Andalucía;Contra la comunidad internacional;0
Andalucía;Concurso de delitos;1.798
Andalucía;No consta;127
Aragón;Total;3.486
Aragón;Homicidio y formas;24
Aragón;Del Aborto;0
Aragón;De las lesiones;330
Aragón;De las lesiones al feto;1
Aragón;Relativos a la manipulación genetica;0
Aragón;Contra la libertad;50
Aragón;De las torturas y otros delitos contra la integirdad moral;28
Aragón;Contra la libertad e indemnidad sexuales;27
Aragón;De la omisión del deber de socorro;0
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Aragón;Contra el honor;4
Aragón;Contra las relaciones familiares;87
Aragón;Contra el patrimonio y el orden socioeconomico;1.155
Aragón;Contra la hacienda publica y la Seg.social;5
Aragón;Contra los derechos de los trabajadores;5
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;4
Aragón;Contra la seguridad colectiva;994
Aragón;De las falsedades;74
Aragón;Contra la Administración Pública;2
Aragón;Contra la administración de justicia;185
Aragón;Contra la Constitución;2
Aragón;Contra el orden público;204
Aragón;delitos de traición y contra la paz o independencia;2
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;269
Aragón;No consta;32
Asturias;Total;2.572
Asturias;Homicidio y formas;16
Asturias;Del Aborto;0
Asturias;De las lesiones;294
Asturias;De las lesiones al feto;0
Asturias;Relativos a la manipulación genetica;0
Asturias;Contra la libertad;29
Asturias;De las torturas y otros delitos contra la integirdad moral;29
Asturias;Contra la libertad e indemnidad sexuales;15
Asturias;De la omisión del deber de socorro;5
Asturias;Contra la intimidad, derecho a la propia imagen e inviolabil;3
Asturias;Contra el honor;2
Asturias;Contra las relaciones familiares;57
Asturias;Contra el patrimonio y el orden socioeconomico;639
Asturias;Contra la hacienda publica y la Seg.social;4
Asturias;Contra los derechos de los trabajadores;6
Asturias;Relativos a la ord. territorio y protección pat. y medio amb;10
Asturias;Contra la seguridad colectiva;970
Asturias;De las falsedades;21
Asturias;Contra la Administración Pública;1
Asturias;Contra la administración de justicia;109
