Comunidades autónomas;Tipo de delito;Total
Andalucía;Total;22.285
Andalucía;Homicidio y formas;56
Andalucía;Del Aborto;4
Andalucía;De las lesiones;715
Andalucía;De las lesiones al feto;0
Andalucía;Relativos a la manipulación genetica;1
Andalucía;Contra la libertad;91
Andalucía;De las torturas y otros delitos contra la integirdad moral;0
Andalucía;Contra la libertad e indemnidad sexuales;175
Andalucía;De la omisión del deber de socorro;6
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;23
Andalucía;Contra el honor;13
Andalucía;Contra las relaciones familiares;320
Andalucía;Contra el patrimonio y el orden socioeconomico;9.768
Andalucía;Contra la hacienda publica y la Seg.social;63
Andalucía;Contra los derechos de los trabajadores;49
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;53
Andalucía;Contra la seguridad colectiva;7.373
Andalucía;De las falsedades;391
Andalucía;Contra la Administración Pública;46
Andalucía;Contra la administración de justicia;823
Andalucía;Contra la Constitución;43
Andalucía;Contra el orden público;791
Andalucía;delitos de traición y contra la paz o independencia;1
Andalucía;Contra la comunidad internacional;0
Andalucía;Concurso de delitos;1.401
Andalucía;No consta;79
Aragón;Total;2.165
Aragón;Homicidio y formas;11
Aragón;Del Aborto;0
Aragón;De las lesiones;89
Aragón;De las lesiones al feto;0
Aragón;Relativos a la manipulación genetica;0
Aragón;Contra la libertad;16
Aragón;De las torturas y otros delitos contra la integirdad moral;0
Aragón;Contra la libertad e indemnidad sexuales;20
Aragón;De la omisión del deber de socorro;1
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Aragón;Contra el honor;2
Aragón;Contra las relaciones familiares;57
Aragón;Contra el patrimonio y el orden socioeconomico;816
Aragón;Contra la hacienda publica y la Seg.social;7
Aragón;Contra los derechos de los trabajadores;0
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;11
Aragón;Contra la seguridad colectiva;712
Aragón;De las falsedades;55
Aragón;Contra la Administración Pública;3
Aragón;Contra la administración de justicia;69
Aragón;Contra la Constitución;4
Aragón;Contra el orden público;86
Aragón;delitos de traición y contra la paz o independencia;0
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;184
Aragón;No consta;22
Asturias;Total;3.466
Asturias;Homicidio y formas;13
Asturias;Del Aborto;0
Asturias;De las lesiones;158
Asturias;De las lesiones al feto;0
Asturias;Relativos a la manipulación genetica;0
Asturias;Contra la libertad;5
Asturias;De las torturas y otros delitos contra la integirdad moral;0
Asturias;Contra la libertad e indemnidad sexuales;29
Asturias;De la omisión del deber de socorro;1
Asturias;Contra la intimidad, derecho a la propia imagen e inviolabil;5
Asturias;Contra el honor;2
Asturias;Contra las relaciones familiares;69
Asturias;Contra el patrimonio y el orden socioeconomico;1.174
Asturias;Contra la hacienda publica y la Seg.social;13
Asturias;Contra los derechos de los trabajadores;0
Asturias;Relativos a la ord. territorio y protección pat. y medio amb;1
Asturias;Contra la seguridad colectiva;1.317
Asturias;De las falsedades;51
Asturias;Contra la Administración Pública;9
Asturias;Contra la administración de justicia;154
Asturias;Contra la Constitución;1
Asturias;Contra el orden público;171
Asturias;delitos de traición y contra la paz o independencia;1
Asturias;Contra la comunidad internacional;0
Asturias;Concurso de delitos;284
Asturias;No consta;8
Baleares (Illes);Total;2.996
Baleares (Illes);Homicidio y formas;8
Baleares (Illes);Del Aborto;0
Baleares (Illes);De las lesiones;72
Baleares (Illes);De las lesiones al feto;0
Baleares (Illes);Relativos a la manipulación genetica;0
Baleares (Illes);Contra la libertad;21
Baleares (Illes);De las torturas y otros delitos contra la integirdad moral;0
Baleares (Illes);Contra la libertad e indemnidad sexuales;31
Baleares (Illes);De la omisión del deber de socorro;0
Baleares (Illes);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Baleares (Illes);Contra el honor;1
Baleares (Illes);Contra las relaciones familiares;47
Baleares (Illes);Contra el patrimonio y el orden socioeconomico;1.268
Baleares (Illes);Contra la hacienda publica y la Seg.social;6
Baleares (Illes);Contra los derechos de los trabajadores;0
Baleares (Illes);Relativos a la ord. territorio y protección pat. y medio amb;2
Baleares (Illes);Contra la seguridad colectiva;1.192
Baleares (Illes);De las falsedades;73
Baleares (Illes);Contra la Administración Pública;13
Baleares (Illes);Contra la administración de justicia;56
Baleares (Illes);Contra la Constitución;0
Baleares (Illes);Contra el orden público;50
Baleares (Illes);delitos de traición y contra la paz o independencia;1
Baleares (Illes);Contra la comunidad internacional;0
Baleares (Illes);Concurso de delitos;145
Baleares (Illes);No consta;10
Canarias;Total;4.578
Canarias;Homicidio y formas;12
Canarias;Del Aborto;0
Canarias;De las lesiones;128
Canarias;De las lesiones al feto;0
Canarias;Relativos a la manipulación genetica;0
Canarias;Contra la libertad;12
Canarias;De las torturas y otros delitos contra la integirdad moral;0
Canarias;Contra la libertad e indemnidad sexuales;56
Canarias;De la omisión del deber de socorro;3
Canarias;Contra la intimidad, derecho a la propia imagen e inviolabil;9
Canarias;Contra el honor;0
Canarias;Contra las relaciones familiares;73
Canarias;Contra el patrimonio y el orden socioeconomico;2.386
Canarias;Contra la hacienda publica y la Seg.social;2
Canarias;Contra los derechos de los trabajadores;0
Canarias;Relativos a la ord. territorio y protección pat. y medio amb;1
Canarias;Contra la seguridad colectiva;1.322
Canarias;De las falsedades;90
Canarias;Contra la Administración Pública;7
Canarias;Contra la administración de justicia;114
Canarias;Contra la Constitución;4
Canarias;Contra el orden público;74
Canarias;delitos de traición y contra la paz o independencia;0
Canarias;Contra la comunidad internacional;0
Canarias;Concurso de delitos;276
Canarias;No consta;9
Cantabria;Total;1.051
Cantabria;Homicidio y formas;2
Cantabria;Del Aborto;0
Cantabria;De las lesiones;58
Cantabria;De las lesiones al feto;0
Cantabria;Relativos a la manipulación genetica;0
Cantabria;Contra la libertad;2
Cantabria;De las torturas y otros delitos contra la integirdad moral;0
Cantabria;Contra la libertad e indemnidad sexuales;8
Cantabria;De la omisión del deber de socorro;0
Cantabria;Contra la intimidad, derecho a la propia imagen e inviolabil;1
Cantabria;Contra el honor;0
Cantabria;Contra las relaciones familiares;16
Cantabria;Contra el patrimonio y el orden socioeconomico;378
Cantabria;Contra la hacienda publica y la Seg.social;1
Cantabria;Contra los derechos de los trabajadores;0
Cantabria;Relativos a la ord. territorio y protección pat. y medio amb;2
Cantabria;Contra la seguridad colectiva;345
Cantabria;De las falsedades;16
Cantabria;Contra la Administración Pública;0
Cantabria;Contra la administración de justicia;52
Cantabria;Contra la Constitución;2
Cantabria;Contra el orden público;27
