Comunidades autónomas;Tipo de delito;Total
Andalucía;Total;20.813
Andalucía;Homicidio y formas;123
Andalucía;Del Aborto;0
Andalucía;De las lesiones;991
Andalucía;De las lesiones al feto;1
Andalucía;Relativos a la manipulación genetica;0
Andalucía;Contra la libertad;152
Andalucía;De las torturas y otros delitos contra la integirdad moral;170
Andalucía;Contra la libertad e indemnidad sexuales;202
Andalucía;De la omisión del deber de socorro;3
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;5
Andalucía;Contra el honor;2
Andalucía;Contra las relaciones familiares;437
Andalucía;Contra el patrimonio y el orden socioeconomico;8.022
Andalucía;Contra la hacienda publica y la Seg.social;41
Andalucía;Contra los derechos de los trabajadores;175
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;45
Andalucía;Contra la seguridad colectiva;7.023
Andalucía;De las falsedades;296
Andalucía;Contra la Administración Pública;26
Andalucía;Contra la administración de justicia;667
Andalucía;Contra la Constitución;11
Andalucía;Contra el orden público;887
Andalucía;delitos de traición y contra la paz o independencia;4
Andalucía;Contra la comunidad internacional;0
Andalucía;Concurso de delitos;1.465
Andalucía;No consta;65
Aragón;Total;2.536
Aragón;Homicidio y formas;22
Aragón;Del Aborto;0
Aragón;De las lesiones;234
Aragón;De las lesiones al feto;0
Aragón;Relativos a la manipulación genetica;0
Aragón;Contra la libertad;33
Aragón;De las torturas y otros delitos contra la integirdad moral;37
Aragón;Contra la libertad e indemnidad sexuales;21
Aragón;De la omisión del deber de socorro;1
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Aragón;Contra el honor;1
Aragón;Contra las relaciones familiares;86
Aragón;Contra el patrimonio y el orden socioeconomico;912
Aragón;Contra la hacienda publica y la Seg.social;6
Aragón;Contra los derechos de los trabajadores;6
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;1
Aragón;Contra la seguridad colectiva;683
Aragón;De las falsedades;42
Aragón;Contra la Administración Pública;6
Aragón;Contra la administración de justicia;108
Aragón;Contra la Constitución;2
Aragón;Contra el orden público;121
Aragón;delitos de traición y contra la paz o independencia;0
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;211
Aragón;No consta;3
Asturias;Total;1.842
Asturias;Homicidio y formas;16
Asturias;Del Aborto;0
Asturias;De las lesiones;150
Asturias;De las lesiones al feto;0
Asturias;Relativos a la manipulación genetica;0
Asturias;Contra la libertad;12
Asturias;De las torturas y otros delitos contra la integirdad moral;9
Asturias;Contra la libertad e indemnidad sexuales;17
Asturias;De la omisión del deber de socorro;1
Asturias;Contra la intimidad, derecho a la propia imagen e inviolabil;9
Asturias;Contra el honor;1
Asturias;Contra las relaciones familiares;47
Asturias;Contra el patrimonio y el orden socioeconomico;492
Asturias;Contra la hacienda publica y la Seg.social;2
Asturias;Contra los derechos de los trabajadores;3
Asturias;Relativos a la ord. territorio y protección pat. y medio amb;7
Asturias;Contra la seguridad colectiva;767
Asturias;De las falsedades;13
Asturias;Contra la Administración Pública;3
Asturias;Contra la administración de justicia;66
Asturias;Contra la Constitución;1
Asturias;Contra el orden público;49
Asturias;delitos de traición y contra la paz o independencia;0
Asturias;Contra la comunidad internacional;0
Asturias;Concurso de delitos;173
Asturias;No consta;4
Baleares (Illes);Total;3.265
Baleares (Illes);Homicidio y formas;17
Baleares (Illes);Del Aborto;0
Baleares (Illes);De las lesiones;135
Baleares (Illes);De las lesiones al feto;0
Baleares (Illes);Relativos a la manipulación genetica;0
Baleares (Illes);Contra la libertad;20
Baleares (Illes);De las torturas y otros delitos contra la integirdad moral;6
Baleares (Illes);Contra la libertad e indemnidad sexuales;41
Baleares (Illes);De la omisión del deber de socorro;0
Baleares (Illes);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Baleares (Illes);Contra el honor;1
Baleares (Illes);Contra las relaciones familiares;62
Baleares (Illes);Contra el patrimonio y el orden socioeconomico;1.276
Baleares (Illes);Contra la hacienda publica y la Seg.social;1
Baleares (Illes);Contra los derechos de los trabajadores;0
Baleares (Illes);Relativos a la ord. territorio y protección pat. y medio amb;6
Baleares (Illes);Contra la seguridad colectiva;1.286
Baleares (Illes);De las falsedades;52
Baleares (Illes);Contra la Administración Pública;4
Baleares (Illes);Contra la administración de justicia;73
Baleares (Illes);Contra la Constitución;0
Baleares (Illes);Contra el orden público;29
Baleares (Illes);delitos de traición y contra la paz o independencia;1
Baleares (Illes);Contra la comunidad internacional;0
Baleares (Illes);Concurso de delitos;247
Baleares (Illes);No consta;8
Canarias;Total;4.295
Canarias;Homicidio y formas;21
Canarias;Del Aborto;0
Canarias;De las lesiones;194
Canarias;De las lesiones al feto;0
Canarias;Relativos a la manipulación genetica;0
Canarias;Contra la libertad;28
Canarias;De las torturas y otros delitos contra la integirdad moral;16
Canarias;Contra la libertad e indemnidad sexuales;45
Canarias;De la omisión del deber de socorro;0
Canarias;Contra la intimidad, derecho a la propia imagen e inviolabil;3
Canarias;Contra el honor;0
Canarias;Contra las relaciones familiares;152
Canarias;Contra el patrimonio y el orden socioeconomico;1.825
Canarias;Contra la hacienda publica y la Seg.social;4
Canarias;Contra los derechos de los trabajadores;1
Canarias;Relativos a la ord. territorio y protección pat. y medio amb;4
Canarias;Contra la seguridad colectiva;1.284
Canarias;De las falsedades;97
Canarias;Contra la Administración Pública;6
Canarias;Contra la administración de justicia;123
Canarias;Contra la Constitución;7
Canarias;Contra el orden público;103
Canarias;delitos de traición y contra la paz o independencia;0
Canarias;Contra la comunidad internacional;0
Canarias;Concurso de delitos;377
Canarias;No consta;5
Cantabria;Total;1.153
Cantabria;Homicidio y formas;3
Cantabria;Del Aborto;0
Cantabria;De las lesiones;116
Cantabria;De las lesiones al feto;0
Cantabria;Relativos a la manipulación genetica;0
Cantabria;Contra la libertad;2
Cantabria;De las torturas y otros delitos contra la integirdad moral;8
Cantabria;Contra la libertad e indemnidad sexuales;18
Cantabria;De la omisión del deber de socorro;0
Cantabria;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Cantabria;Contra el honor;0
Cantabria;Contra las relaciones familiares;16
Cantabria;Contra el patrimonio y el orden socioeconomico;290
Cantabria;Contra la hacienda publica y la Seg.social;1
Cantabria;Contra los derechos de los trabajadores;6
Cantabria;Relativos a la ord. territorio y protección pat. y medio amb;2
Cantabria;Contra la seguridad colectiva;506
Cantabria;De las falsedades;7
Cantabria;Contra la Administración Pública;0
Cantabria;Contra la administración de justicia;59
Cantabria;Contra la Constitución;1
Cantabria;Contra el orden público;29
Cantabria;delitos de traición y contra la paz o independencia;0
Cantabria;Contra la comunidad internacional;0
Cantabria;Concurso de delitos;86
Cantabria;No consta;3
Castilla y León;Total;5.110
Castilla y León;Homicidio y formas;33
Castilla y León;Del Aborto;1
Castilla y León;De las lesiones;411
Castilla y León;De las lesiones al feto;0
Castilla y León;Relativos a la manipulación genetica;0
Castilla y León;Contra la libertad;50
Castilla y León;De las torturas y otros delitos contra la integirdad moral;43
Castilla y León;Contra la libertad e indemnidad sexuales;44
Castilla y León;De la omisión del deber de socorro;1
Castilla y León;Contra la intimidad, derecho a la propia imagen e inviolabil;1
Castilla y León;Contra el honor;6
Castilla y León;Contra las relaciones familiares;119
Castilla y León;Contra el patrimonio y el orden socioeconomico;1.667
