Tipo de delito;Sexo del infractor;Lugar de condena;Total
2. Aborto;Total;Balears (Illes);0
2. Aborto;Total;Canarias;1
2. Aborto;Total;Cantabria;0
2. Aborto;Total;Castilla y León;0
2. Aborto;Total;Castilla-La Mancha;1
2. Aborto;Total;Cataluña;2
2. Aborto;Total;Comunitat Valenciana;2
2. Aborto;Total;Extremadura;0
2. Aborto;Total;Galicia;0
2. Aborto;Total;Madrid (Comunidad de)(1);5
2. Aborto;Total;Murcia (Región de);1
2. Aborto;Total;Navarra (Comunidad Foral de);0
2. Aborto;Total;País Vasco;1
2. Aborto;Total;Rioja (La);0
2. Aborto;Total;Ceuta;0
2. Aborto;Total;Melilla;0
2. Aborto;Varón;Total;2
2. Aborto;Varón;Andalucía;1
2. Aborto;Varón;Aragón;0
2. Aborto;Varón;Asturias (Principado de);0
2. Aborto;Varón;Balears (Illes);0
2. Aborto;Varón;Canarias;0
2. Aborto;Varón;Cantabria;0
2. Aborto;Varón;Castilla y León;0
2. Aborto;Varón;Castilla-La Mancha;0
2. Aborto;Varón;Cataluña;0
2. Aborto;Varón;Comunitat Valenciana;0
2. Aborto;Varón;Extremadura;0
2. Aborto;Varón;Galicia;0
2. Aborto;Varón;Madrid (Comunidad de)(1);0
2. Aborto;Varón;Murcia (Región de);1
2. Aborto;Varón;Navarra (Comunidad Foral de);0
2. Aborto;Varón;País Vasco;0
2. Aborto;Varón;Rioja (La);0
2. Aborto;Varón;Ceuta;0
2. Aborto;Varón;Melilla;0
2. Aborto;Mujer;Total;13
2. Aborto;Mujer;Andalucía;1
2. Aborto;Mujer;Aragón;0
2. Aborto;Mujer;Asturias (Principado de);0
2. Aborto;Mujer;Balears (Illes);0
2. Aborto;Mujer;Canarias;1
2. Aborto;Mujer;Cantabria;0
2. Aborto;Mujer;Castilla y León;0
2. Aborto;Mujer;Castilla-La Mancha;1
2. Aborto;Mujer;Cataluña;2
2. Aborto;Mujer;Comunitat Valenciana;2
2. Aborto;Mujer;Extremadura;0
2. Aborto;Mujer;Galicia;0
2. Aborto;Mujer;Madrid (Comunidad de)(1);5
2. Aborto;Mujer;Murcia (Región de);0
2. Aborto;Mujer;Navarra (Comunidad Foral de);0
2. Aborto;Mujer;País Vasco;1
2. Aborto;Mujer;Rioja (La);0
2. Aborto;Mujer;Ceuta;0
2. Aborto;Mujer;Melilla;0
3. Lesiones;Total;Total;37.028
3. Lesiones;Total;Andalucía;7.546
3. Lesiones;Total;Aragón;1.037
3. Lesiones;Total;Asturias (Principado de);833
3. Lesiones;Total;Balears (Illes);1.587
3. Lesiones;Total;Canarias;2.079
3. Lesiones;Total;Cantabria;600
3. Lesiones;Total;Castilla y León;1.463
3. Lesiones;Total;Castilla-La Mancha;1.530
