Tipo de delito;Sexo del infractor;Lugar de condena;Total
Total;Varón;Total;196.564
Total;Varón;Andalucía;41.496
Total;Varón;Aragón;4.649
Total;Varón;Asturias (Principado de);5.188
Total;Varón;Balears (Illes);6.868
Total;Varón;Canarias;9.265
Total;Varón;Cantabria;3.209
Total;Varón;Castilla y León;7.287
Total;Varón;Castilla-La Mancha;6.157
Total;Varón;Cataluña;31.604
Total;Varón;Comunitat Valenciana;22.950
Total;Varón;Extremadura;3.670
Total;Varón;Galicia;11.087
Total;Varón;Madrid (Comunidad de)(1);20.908
Total;Varón;Murcia (Región de);7.917
Total;Varón;Navarra (Comunidad Foral de);2.614
Total;Varón;País Vasco;7.915
Total;Varón;Rioja (La);1.565
Total;Varón;Ceuta;1.579
Total;Varón;Melilla;636
Total;Mujer;Total;17.176
Total;Mujer;Andalucía;3.330
Total;Mujer;Aragón;427
Total;Mujer;Asturias (Principado de);514
Total;Mujer;Balears (Illes);595
Total;Mujer;Canarias;674
Total;Mujer;Cantabria;331
Total;Mujer;Castilla y León;593
Total;Mujer;Castilla-La Mancha;417
Total;Mujer;Cataluña;2.877
Total;Mujer;Comunitat Valenciana;1.993
Total;Mujer;Extremadura;309
Total;Mujer;Galicia;899
Total;Mujer;Madrid (Comunidad de)(1);2.325
Total;Mujer;Murcia (Región de);619
Total;Mujer;Navarra (Comunidad Foral de);188
Total;Mujer;País Vasco;751
Total;Mujer;Rioja (La);120
Total;Mujer;Ceuta;176
Total;Mujer;Melilla;38
Total;Total;Total;213.740
Total;Total;Andalucía;44.826
Total;Total;Aragón;5.076
Total;Total;Asturias (Principado de);5.702
Total;Total;Balears (Illes);7.463
Total;Total;Canarias;9.939
Total;Total;Cantabria;3.540
Total;Total;Castilla y León;7.880
Total;Total;Castilla-La Mancha;6.574
Total;Total;Cataluña;34.481
Total;Total;Comunitat Valenciana;24.943
Total;Total;Extremadura;3.979
Total;Total;Galicia;11.986
Total;Total;Madrid (Comunidad de)(1);23.233
Total;Total;Murcia (Región de);8.536
Total;Total;Navarra (Comunidad Foral de);2.802
Total;Total;País Vasco;8.666
Total;Total;Rioja (La);1.685
Total;Total;Ceuta;1.755
Total;Total;Melilla;674
1. Del homicidio y sus formas;Varón;Total;1.172
1. Del homicidio y sus formas;Varón;Andalucía;217
1. Del homicidio y sus formas;Varón;Aragón;32
1. Del homicidio y sus formas;Varón;Asturias (Principado de);19
1. Del homicidio y sus formas;Varón;Balears (Illes);25
1. Del homicidio y sus formas;Varón;Canarias;79
1. Del homicidio y sus formas;Varón;Cantabria;22
1. Del homicidio y sus formas;Varón;Castilla y León;56
1. Del homicidio y sus formas;Varón;Castilla-La Mancha;35
1. Del homicidio y sus formas;Varón;Cataluña;185
