Tipo de delito;Sexo del infractor;Lugar de condena;Total
Total;Total;Total;273.965
Total;Total;Andalucía;55.050
Total;Total;Aragón;7.048
Total;Total;Asturias, Principado de;6.435
Total;Total;Balears, Illes;8.829
Total;Total;Canarias;14.905
Total;Total;Cantabria;3.385
Total;Total;Castilla y León;11.658
Total;Total;Castilla-La Mancha;9.919
Total;Total;Cataluña;41.990
Total;Total;Comunitat Valenciana;33.889
Total;Total;Extremadura;5.576
Total;Total;Galicia;15.727
Total;Total;Madrid, Comunidad de(1);28.526
Total;Total;Murcia, Región de;10.195
Total;Total;Navarra, Comunidad Foral de;3.679
Total;Total;País Vasco;11.334
Total;Total;Rioja, La;2.081
Total;Total;Ceuta;2.556
Total;Total;Melilla;1.183
Total;Varón;Total;248.166
Total;Varón;Andalucía;49.870
Total;Varón;Aragón;6.375
Total;Varón;Asturias, Principado de;5.829
Total;Varón;Balears, Illes;7.857
Total;Varón;Canarias;13.496
Total;Varón;Cantabria;3.029
Total;Varón;Castilla y León;10.697
Total;Varón;Castilla-La Mancha;9.151
Total;Varón;Cataluña;38.100
Total;Varón;Comunitat Valenciana;30.275
Total;Varón;Extremadura;5.107
Total;Varón;Galicia;14.447
Total;Varón;Madrid, Comunidad de(1);25.780
Total;Varón;Murcia, Región de;9.335
Total;Varón;Navarra, Comunidad Foral de;3.329
Total;Varón;País Vasco;10.240
Total;Varón;Rioja, La;1.910
Total;Varón;Ceuta;2.244
Total;Varón;Melilla;1.095
Total;Mujer;Total;25.799
Total;Mujer;Andalucía;5.180
Total;Mujer;Aragón;673
Total;Mujer;Asturias, Principado de;606
Total;Mujer;Balears, Illes;972
Total;Mujer;Canarias;1.409
Total;Mujer;Cantabria;356
Total;Mujer;Castilla y León;961
Total;Mujer;Castilla-La Mancha;768
Total;Mujer;Cataluña;3.890
Total;Mujer;Comunitat Valenciana;3.614
Total;Mujer;Extremadura;469
Total;Mujer;Galicia;1.280
Total;Mujer;Madrid, Comunidad de(1);2.746
Total;Mujer;Murcia, Región de;860
Total;Mujer;Navarra, Comunidad Foral de;350
Total;Mujer;País Vasco;1.094
Total;Mujer;Rioja, La;171
Total;Mujer;Ceuta;312
Total;Mujer;Melilla;88
1. Homicidio y sus formas;Total;Total;1.238
1. Homicidio y sus formas;Total;Andalucía;240
1. Homicidio y sus formas;Total;Aragón;31
1. Homicidio y sus formas;Total;Asturias, Principado de;22
1. Homicidio y sus formas;Total;Balears, Illes;32
1. Homicidio y sus formas;Total;Canarias;78
1. Homicidio y sus formas;Total;Cantabria;13
1. Homicidio y sus formas;Total;Castilla y León;49
1. Homicidio y sus formas;Total;Castilla-La Mancha;53
1. Homicidio y sus formas;Total;Cataluña;211
1. Homicidio y sus formas;Total;Comunitat Valenciana;146
