Comunidad autónoma;Tipo de delito;Total
Andalucía;Homicidio y formas;113
Andalucía;Del Aborto;1
Andalucía;De las lesiones;5.049
Andalucía;De las lesiones al feto;1
Andalucía;Contra la libertad;578
Andalucía;De las torturas y otros delitos contra la integirdad moral;512
Andalucía;Contra la libertad e indemnidad sexuales;234
Andalucía;De la omisión del deber de socorro;3
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;18
Andalucía;Contra el honor;28
Andalucía;Contra las relaciones familiares;596
Andalucía;Contra el patrimonio y el orden socioeconomico;7.513
Andalucía;Contra la hacienda publica y la Seg.social;51
Andalucía;Contra los derechos de los trabajadores;219
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;60
Andalucía;Contra la seguridad colectiva;8.321
Andalucía;De las falsedades;325
Andalucía;Contra la Administración Pública;15
Andalucía;Contra la administración de justicia;1.584
Andalucía;Contra la Constitución;5
Andalucía;Contra el orden público;1.609
Andalucía;delitos de traición y contra la paz o independencia;5
Andalucía;Contra la comunidad internacional;1
Andalucía;Concurso de delitos;1.588
Andalucía;No consta;90
Andalucía;Total;28.519
Aragón;Homicidio y formas;7
Aragón;Del Aborto;0
Aragón;De las lesiones;778
Aragón;De las lesiones al feto;0
Aragón;Contra la libertad;84
Aragón;De las torturas y otros delitos contra la integirdad moral;44
Aragón;Contra la libertad e indemnidad sexuales;32
Aragón;De la omisión del deber de socorro;0
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Aragón;Contra el honor;4
Aragón;Contra las relaciones familiares;97
Aragón;Contra el patrimonio y el orden socioeconomico;768
Aragón;Contra la hacienda publica y la Seg.social;20
Aragón;Contra los derechos de los trabajadores;5
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;1
Aragón;Contra la seguridad colectiva;548
Aragón;De las falsedades;92
Aragón;Contra la Administración Pública;1
Aragón;Contra la administración de justicia;248
Aragón;Contra la Constitución;4
Aragón;Contra el orden público;213
Aragón;delitos de traición y contra la paz o independencia;0
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;186
Aragón;No consta;32
Aragón;Total;3.164
Asturias (Principado de);Homicidio y formas;6
Asturias (Principado de);Del Aborto;0
Asturias (Principado de);De las lesiones;636
Asturias (Principado de);De las lesiones al feto;0
Asturias (Principado de);Contra la libertad;64
Asturias (Principado de);De las torturas y otros delitos contra la integirdad moral;30
Asturias (Principado de);Contra la libertad e indemnidad sexuales;30
Asturias (Principado de);De la omisión del deber de socorro;0
Asturias (Principado de);Contra la intimidad, derecho a la propia imagen e inviolabil;7
Asturias (Principado de);Contra el honor;1
Asturias (Principado de);Contra las relaciones familiares;89
Asturias (Principado de);Contra el patrimonio y el orden socioeconomico;679
Asturias (Principado de);Contra la hacienda publica y la Seg.social;3
Asturias (Principado de);Contra los derechos de los trabajadores;0
Asturias (Principado de);Relativos a la ord. territorio y protección pat. y medio amb;11
Asturias (Principado de);Contra la seguridad colectiva;1.341
Asturias (Principado de);De las falsedades;29
Asturias (Principado de);Contra la Administración Pública;2
Asturias (Principado de);Contra la administración de justicia;227
Asturias (Principado de);Contra la Constitución;4
Asturias (Principado de);Contra el orden público;217
Asturias (Principado de);delitos de traición y contra la paz o independencia;0
Asturias (Principado de);Contra la comunidad internacional;0
Asturias (Principado de);Concurso de delitos;143
Asturias (Principado de);No consta;7
Asturias (Principado de);Total;3.526
Balears (Illes);Homicidio y formas;10
Balears (Illes);Del Aborto;0
Balears (Illes);De las lesiones;687
Balears (Illes);De las lesiones al feto;0
Balears (Illes);Contra la libertad;80
Balears (Illes);De las torturas y otros delitos contra la integirdad moral;60
Balears (Illes);Contra la libertad e indemnidad sexuales;44
Balears (Illes);De la omisión del deber de socorro;0
Balears (Illes);Contra la intimidad, derecho a la propia imagen e inviolabil;2
Balears (Illes);Contra el honor;6
Balears (Illes);Contra las relaciones familiares;80
Balears (Illes);Contra el patrimonio y el orden socioeconomico;1.059
Balears (Illes);Contra la hacienda publica y la Seg.social;5
Balears (Illes);Contra los derechos de los trabajadores;2
Balears (Illes);Relativos a la ord. territorio y protección pat. y medio amb;3
Balears (Illes);Contra la seguridad colectiva;1.163
Balears (Illes);De las falsedades;91
Balears (Illes);Contra la Administración Pública;4
Balears (Illes);Contra la administración de justicia;170
Balears (Illes);Contra la Constitución;0
Balears (Illes);Contra el orden público;115
Balears (Illes);delitos de traición y contra la paz o independencia;0
Balears (Illes);Contra la comunidad internacional;0
Balears (Illes);Concurso de delitos;198
Balears (Illes);No consta;11
Balears (Illes);Total;3.790
Canarias;Homicidio y formas;37
Canarias;Del Aborto;0
Canarias;De las lesiones;709
Canarias;De las lesiones al feto;0
Canarias;Contra la libertad;67
Canarias;De las torturas y otros delitos contra la integirdad moral;97
Canarias;Contra la libertad e indemnidad sexuales;54
Canarias;De la omisión del deber de socorro;2
Canarias;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Canarias;Contra el honor;6
Canarias;Contra las relaciones familiares;170
Canarias;Contra el patrimonio y el orden socioeconomico;1.105
Canarias;Contra la hacienda publica y la Seg.social;0
Canarias;Contra los derechos de los trabajadores;25
Canarias;Relativos a la ord. territorio y protección pat. y medio amb;7
Canarias;Contra la seguridad colectiva;1.111
Canarias;De las falsedades;64
Canarias;Contra la Administración Pública;3
Canarias;Contra la administración de justicia;226
Canarias;Contra la Constitución;0
Canarias;Contra el orden público;173
Canarias;delitos de traición y contra la paz o independencia;0
Canarias;Contra la comunidad internacional;0
Canarias;Concurso de delitos;198
Canarias;No consta;1
Canarias;Total;4.057
Cantabria;Homicidio y formas;17
Cantabria;Del Aborto;0
Cantabria;De las lesiones;281
Cantabria;De las lesiones al feto;0
Cantabria;Contra la libertad;24
Cantabria;De las torturas y otros delitos contra la integirdad moral;37
Cantabria;Contra la libertad e indemnidad sexuales;18
Cantabria;De la omisión del deber de socorro;0
Cantabria;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Cantabria;Contra el honor;0
Cantabria;Contra las relaciones familiares;26
Cantabria;Contra el patrimonio y el orden socioeconomico;313
Cantabria;Contra la hacienda publica y la Seg.social;0
Cantabria;Contra los derechos de los trabajadores;7
Cantabria;Relativos a la ord. territorio y protección pat. y medio amb;0
Cantabria;Contra la seguridad colectiva;550
Cantabria;De las falsedades;13
Cantabria;Contra la Administración Pública;0
Cantabria;Contra la administración de justicia;101
Cantabria;Contra la Constitución;0
Cantabria;Contra el orden público;73
Cantabria;delitos de traición y contra la paz o independencia;0
Cantabria;Contra la comunidad internacional;0
Cantabria;Concurso de delitos;66
Cantabria;No consta;3
Cantabria;Total;1.531
Castilla y León;Homicidio y formas;29
Castilla y León;Del Aborto;0
Castilla y León;De las lesiones;1.158
Castilla y León;De las lesiones al feto;1
Castilla y León;Contra la libertad;77
Castilla y León;De las torturas y otros delitos contra la integirdad moral;86
Castilla y León;Contra la libertad e indemnidad sexuales;73
Castilla y León;De la omisión del deber de socorro;1
Castilla y León;Contra la intimidad, derecho a la propia imagen e inviolabil;4
Castilla y León;Contra el honor;10
Castilla y León;Contra las relaciones familiares;154
