Comunidad autónoma;Tipo de delito;Total
Castilla y León;Contra el patrimonio y el orden socioeconomico;1.180
Castilla y León;Contra la hacienda publica y la Seg.social;3
Castilla y León;Contra los derechos de los trabajadores;8
Castilla y León;Relativos a la ord. territorio y protección pat. y medio amb;7
Castilla y León;Contra la seguridad colectiva;1.515
Castilla y León;De las falsedades;105
Castilla y León;Contra la Administración Pública;3
Castilla y León;Contra la administración de justicia;344
Castilla y León;Contra la Constitución;1
Castilla y León;Contra el orden público;286
Castilla y León;delitos de traición y contra la paz o independencia;0
Castilla y León;Contra la comunidad internacional;0
Castilla y León;Concurso de delitos;281
Castilla y León;No consta;4
Castilla y León;Total;5.330
Castilla-La Mancha;Homicidio y formas;15
Castilla-La Mancha;Del Aborto;0
Castilla-La Mancha;De las lesiones;908
Castilla-La Mancha;De las lesiones al feto;1
Castilla-La Mancha;Contra la libertad;85
Castilla-La Mancha;De las torturas y otros delitos contra la integirdad moral;71
Castilla-La Mancha;Contra la libertad e indemnidad sexuales;62
Castilla-La Mancha;De la omisión del deber de socorro;1
Castilla-La Mancha;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Castilla-La Mancha;Contra el honor;7
Castilla-La Mancha;Contra las relaciones familiares;114
Castilla-La Mancha;Contra el patrimonio y el orden socioeconomico;848
Castilla-La Mancha;Contra la hacienda publica y la Seg.social;1
Castilla-La Mancha;Contra los derechos de los trabajadores;17
Castilla-La Mancha;Relativos a la ord. territorio y protección pat. y medio amb;16
Castilla-La Mancha;Contra la seguridad colectiva;1.155
Castilla-La Mancha;De las falsedades;61
Castilla-La Mancha;Contra la Administración Pública;2
Castilla-La Mancha;Contra la administración de justicia;262
Castilla-La Mancha;Contra la Constitución;0
Castilla-La Mancha;Contra el orden público;172
Castilla-La Mancha;delitos de traición y contra la paz o independencia;1
Castilla-La Mancha;Contra la comunidad internacional;0
Castilla-La Mancha;Concurso de delitos;240
Castilla-La Mancha;No consta;7
Castilla-La Mancha;Total;4.048
Cataluña;Homicidio y formas;80
Cataluña;Del Aborto;0
Cataluña;De las lesiones;4.147
Cataluña;De las lesiones al feto;2
Cataluña;Contra la libertad;368
Cataluña;De las torturas y otros delitos contra la integirdad moral;197
Cataluña;Contra la libertad e indemnidad sexuales;198
Cataluña;De la omisión del deber de socorro;2
Cataluña;Contra la intimidad, derecho a la propia imagen e inviolabil;6
Cataluña;Contra el honor;16
Cataluña;Contra las relaciones familiares;408
Cataluña;Contra el patrimonio y el orden socioeconomico;6.226
Cataluña;Contra la hacienda publica y la Seg.social;40
Cataluña;Contra los derechos de los trabajadores;38
Cataluña;Relativos a la ord. territorio y protección pat. y medio amb;23
Cataluña;Contra la seguridad colectiva;7.251
Cataluña;De las falsedades;340
Cataluña;Contra la Administración Pública;14
Cataluña;Contra la administración de justicia;1.261
Cataluña;Contra la Constitución;84
Cataluña;Contra el orden público;1.038
Cataluña;delitos de traición y contra la paz o independencia;2
Cataluña;Contra la comunidad internacional;0
Cataluña;Concurso de delitos;1.371
Cataluña;No consta;110
Cataluña;Total;23.222
Comunidad Valenciana;Homicidio y formas;56
Comunidad Valenciana;Del Aborto;0
Comunidad Valenciana;De las lesiones;2.803
Comunidad Valenciana;De las lesiones al feto;1
Comunidad Valenciana;Contra la libertad;184
Comunidad Valenciana;De las torturas y otros delitos contra la integirdad moral;254
Comunidad Valenciana;Contra la libertad e indemnidad sexuales;171
Comunidad Valenciana;De la omisión del deber de socorro;5
Comunidad Valenciana;Contra la intimidad, derecho a la propia imagen e inviolabil;9
Comunidad Valenciana;Contra el honor;13
Comunidad Valenciana;Contra las relaciones familiares;409
Comunidad Valenciana;Contra el patrimonio y el orden socioeconomico;4.758
Comunidad Valenciana;Contra la hacienda publica y la Seg.social;20
Comunidad Valenciana;Contra los derechos de los trabajadores;49
Comunidad Valenciana;Relativos a la ord. territorio y protección pat. y medio amb;12
Comunidad Valenciana;Contra la seguridad colectiva;4.141
Comunidad Valenciana;De las falsedades;277
Comunidad Valenciana;Contra la Administración Pública;18
Comunidad Valenciana;Contra la administración de justicia;837
Comunidad Valenciana;Contra la Constitución;3
Comunidad Valenciana;Contra el orden público;631
Comunidad Valenciana;delitos de traición y contra la paz o independencia;8
Comunidad Valenciana;Contra la comunidad internacional;0
Comunidad Valenciana;Concurso de delitos;1.067
Comunidad Valenciana;No consta;27
Comunidad Valenciana;Total;15.753
Extremadura;Homicidio y formas;12
Extremadura;Del Aborto;0
Extremadura;De las lesiones;516
Extremadura;De las lesiones al feto;1
Extremadura;Contra la libertad;53
Extremadura;De las torturas y otros delitos contra la integirdad moral;116
Extremadura;Contra la libertad e indemnidad sexuales;36
Extremadura;De la omisión del deber de socorro;0
Extremadura;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Extremadura;Contra el honor;5
Extremadura;Contra las relaciones familiares;60
Extremadura;Contra el patrimonio y el orden socioeconomico;744
Extremadura;Contra la hacienda publica y la Seg.social;4
Extremadura;Contra los derechos de los trabajadores;7
Extremadura;Relativos a la ord. territorio y protección pat. y medio amb;23
Extremadura;Contra la seguridad colectiva;542
Extremadura;De las falsedades;44
Extremadura;Contra la Administración Pública;2
Extremadura;Contra la administración de justicia;198
Extremadura;Contra la Constitución;2
Extremadura;Contra el orden público;121
Extremadura;delitos de traición y contra la paz o independencia;0
Extremadura;Contra la comunidad internacional;0
Extremadura;Concurso de delitos;76
Extremadura;No consta;16
Extremadura;Total;2.578
Galicia;Homicidio y formas;37
Galicia;Del Aborto;1
Galicia;De las lesiones;1.459
Galicia;De las lesiones al feto;0
Galicia;Contra la libertad;112
Galicia;De las torturas y otros delitos contra la integirdad moral;132
Galicia;Contra la libertad e indemnidad sexuales;87
Galicia;De la omisión del deber de socorro;2
Galicia;Contra la intimidad, derecho a la propia imagen e inviolabil;8
Galicia;Contra el honor;11
Galicia;Contra las relaciones familiares;230
Galicia;Contra el patrimonio y el orden socioeconomico;2.095
Galicia;Contra la hacienda publica y la Seg.social;9
Galicia;Contra los derechos de los trabajadores;16
Galicia;Relativos a la ord. territorio y protección pat. y medio amb;13
Galicia;Contra la seguridad colectiva;3.162
Galicia;De las falsedades;105
Galicia;Contra la Administración Pública;4
Galicia;Contra la administración de justicia;518
Galicia;Contra la Constitución;4
Galicia;Contra el orden público;441
Galicia;delitos de traición y contra la paz o independencia;1
Galicia;Contra la comunidad internacional;0
Galicia;Concurso de delitos;484
Galicia;No consta;20
Galicia;Total;8.951
Madrid (Comunidad de);Homicidio y formas;45
Madrid (Comunidad de);Del Aborto;0
Madrid (Comunidad de);De las lesiones;1.603
Madrid (Comunidad de);De las lesiones al feto;1
Madrid (Comunidad de);Contra la libertad;121
Madrid (Comunidad de);De las torturas y otros delitos contra la integirdad moral;182
Madrid (Comunidad de);Contra la libertad e indemnidad sexuales;72
Madrid (Comunidad de);De la omisión del deber de socorro;3
Madrid (Comunidad de);Contra la intimidad, derecho a la propia imagen e inviolabil;10
Madrid (Comunidad de);Contra el honor;1
Madrid (Comunidad de);Contra las relaciones familiares;78
Madrid (Comunidad de);Contra el patrimonio y el orden socioeconomico;2.027
Madrid (Comunidad de);Contra la hacienda publica y la Seg.social;8
Madrid (Comunidad de);Contra los derechos de los trabajadores;9
Madrid (Comunidad de);Relativos a la ord. territorio y protección pat. y medio amb;6
Madrid (Comunidad de);Contra la seguridad colectiva;2.828
Madrid (Comunidad de);De las falsedades;119
Madrid (Comunidad de);Contra la Administración Pública;2
Madrid (Comunidad de);Contra la administración de justicia;282
Madrid (Comunidad de);Contra la Constitución;2
Madrid (Comunidad de);Contra el orden público;250
Madrid (Comunidad de);delitos de traición y contra la paz o independencia;0
Madrid (Comunidad de);Contra la comunidad internacional;0
Madrid (Comunidad de);Concurso de delitos;394
Madrid (Comunidad de);No consta;24
Madrid (Comunidad de);Total;8.067
Murcia (Región de);Homicidio y formas;26
Murcia (Región de);Del Aborto;0
Murcia (Región de);De las lesiones;1.112
Murcia (Región de);De las lesiones al feto;0
Murcia (Región de);Contra la libertad;121
Murcia (Región de);De las torturas y otros delitos contra la integirdad moral;123
Murcia (Región de);Contra la libertad e indemnidad sexuales;67
Murcia (Región de);De la omisión del deber de socorro;0
Murcia (Región de);Contra la intimidad, derecho a la propia imagen e inviolabil;1
Murcia (Región de);Contra el honor;5
Murcia (Región de);Contra las relaciones familiares;170
Murcia (Región de);Contra el patrimonio y el orden socioeconomico;1.514
Murcia (Región de);Contra la hacienda publica y la Seg.social;1
Murcia (Región de);Contra los derechos de los trabajadores;21
Murcia (Región de);Relativos a la ord. territorio y protección pat. y medio amb;31
Murcia (Región de);Contra la seguridad colectiva;1.705
Murcia (Región de);De las falsedades;73
Murcia (Región de);Contra la Administración Pública;5
Murcia (Región de);Contra la administración de justicia;274
Murcia (Región de);Contra la Constitución;3
Murcia (Región de);Contra el orden público;424
Murcia (Región de);delitos de traición y contra la paz o independencia;0
Murcia (Región de);Contra la comunidad internacional;0
Murcia (Región de);Concurso de delitos;250
Murcia (Región de);No consta;6
Murcia (Región de);Total;5.932
Navarra (Comunidad Foral de);Homicidio y formas;8
Navarra (Comunidad Foral de);Del Aborto;0
Navarra (Comunidad Foral de);De las lesiones;176
Navarra (Comunidad Foral de);De las lesiones al feto;0
Navarra (Comunidad Foral de);Contra la libertad;14
Navarra (Comunidad Foral de);De las torturas y otros delitos contra la integirdad moral;25
Navarra (Comunidad Foral de);Contra la libertad e indemnidad sexuales;16
Navarra (Comunidad Foral de);De la omisión del deber de socorro;0
Navarra (Comunidad Foral de);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Navarra (Comunidad Foral de);Contra el honor;2
Navarra (Comunidad Foral de);Contra las relaciones familiares;33
Navarra (Comunidad Foral de);Contra el patrimonio y el orden socioeconomico;277
Navarra (Comunidad Foral de);Contra la hacienda publica y la Seg.social;0
Navarra (Comunidad Foral de);Contra los derechos de los trabajadores;2
Navarra (Comunidad Foral de);Relativos a la ord. territorio y protección pat. y medio amb;0
Navarra (Comunidad Foral de);Contra la seguridad colectiva;535
Navarra (Comunidad Foral de);De las falsedades;16
Navarra (Comunidad Foral de);Contra la Administración Pública;1
Navarra (Comunidad Foral de);Contra la administración de justicia;80
Navarra (Comunidad Foral de);Contra la Constitución;1
Navarra (Comunidad Foral de);Contra el orden público;85
Navarra (Comunidad Foral de);delitos de traición y contra la paz o independencia;0
Navarra (Comunidad Foral de);Contra la comunidad internacional;0
Navarra (Comunidad Foral de);Concurso de delitos;65
Navarra (Comunidad Foral de);No consta;9
Navarra (Comunidad Foral de);Total;1.345
País Vasco;Homicidio y formas;20
País Vasco;Del Aborto;0
País Vasco;De las lesiones;1.093
País Vasco;De las lesiones al feto;2
País Vasco;Contra la libertad;62
País Vasco;De las torturas y otros delitos contra la integirdad moral;56
País Vasco;Contra la libertad e indemnidad sexuales;58
País Vasco;De la omisión del deber de socorro;3
País Vasco;Contra la intimidad, derecho a la propia imagen e inviolabil;3
País Vasco;Contra el honor;6
País Vasco;Contra las relaciones familiares;116
País Vasco;Contra el patrimonio y el orden socioeconomico;1.671
País Vasco;Contra la hacienda publica y la Seg.social;6
País Vasco;Contra los derechos de los trabajadores;34
País Vasco;Relativos a la ord. territorio y protección pat. y medio amb;5
País Vasco;Contra la seguridad colectiva;1.909
País Vasco;De las falsedades;79
País Vasco;Contra la Administración Pública;1
País Vasco;Contra la administración de justicia;417
País Vasco;Contra la Constitución;11
País Vasco;Contra el orden público;269
País Vasco;delitos de traición y contra la paz o independencia;0
País Vasco;Contra la comunidad internacional;0
País Vasco;Concurso de delitos;333
País Vasco;No consta;90
País Vasco;Total;6.244
Rioja (La);Homicidio y formas;3
Rioja (La);Del Aborto;0
Rioja (La);De las lesiones;260
Rioja (La);De las lesiones al feto;0
Rioja (La);Contra la libertad;29
Rioja (La);De las torturas y otros delitos contra la integirdad moral;16
Rioja (La);Contra la libertad e indemnidad sexuales;14
Rioja (La);De la omisión del deber de socorro;2
Rioja (La);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Rioja (La);Contra el honor;0
Rioja (La);Contra las relaciones familiares;18
Rioja (La);Contra el patrimonio y el orden socioeconomico;284
Rioja (La);Contra la hacienda publica y la Seg.social;1
Rioja (La);Contra los derechos de los trabajadores;8
Rioja (La);Relativos a la ord. territorio y protección pat. y medio amb;0
Rioja (La);Contra la seguridad colectiva;351
Rioja (La);De las falsedades;22
Rioja (La);Contra la Administración Pública;0
Rioja (La);Contra la administración de justicia;61
Rioja (La);Contra la Constitución;0
Rioja (La);Contra el orden público;106
Rioja (La);delitos de traición y contra la paz o independencia;0
Rioja (La);Contra la comunidad internacional;0
Rioja (La);Concurso de delitos;65
Rioja (La);No consta;4
Rioja (La);Total;1.244
Ceuta;Homicidio y formas;2
Ceuta;Del Aborto;0
Ceuta;De las lesiones;89
Ceuta;De las lesiones al feto;0
Ceuta;Contra la libertad;0
Ceuta;De las torturas y otros delitos contra la integirdad moral;6
Ceuta;Contra la libertad e indemnidad sexuales;1
Ceuta;De la omisión del deber de socorro;0
Ceuta;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Ceuta;Contra el honor;0
Ceuta;Contra las relaciones familiares;7
Ceuta;Contra el patrimonio y el orden socioeconomico;170
Ceuta;Contra la hacienda publica y la Seg.social;0
Ceuta;Contra los derechos de los trabajadores;163
Ceuta;Relativos a la ord. territorio y protección pat. y medio amb;1
Ceuta;Contra la seguridad colectiva;353
Ceuta;De las falsedades;13
Ceuta;Contra la Administración Pública;0
Ceuta;Contra la administración de justicia;22
Ceuta;Contra la Constitución;4
Ceuta;Contra el orden público;75
Ceuta;delitos de traición y contra la paz o independencia;0
Ceuta;Contra la comunidad internacional;0
Ceuta;Concurso de delitos;27
Ceuta;No consta;2
Ceuta;Total;935
Melilla;Homicidio y formas;0
Melilla;Del Aborto;0
Melilla;De las lesiones;143
Melilla;De las lesiones al feto;0
Melilla;Contra la libertad;7
Melilla;De las torturas y otros delitos contra la integirdad moral;2
Melilla;Contra la libertad e indemnidad sexuales;3
Melilla;De la omisión del deber de socorro;0
Melilla;Contra la intimidad, derecho a la propia imagen e inviolabil;1
Melilla;Contra el honor;0
Melilla;Contra las relaciones familiares;14
Melilla;Contra el patrimonio y el orden socioeconomico;213
Melilla;Contra la hacienda publica y la Seg.social;1
Melilla;Contra los derechos de los trabajadores;5
Melilla;Relativos a la ord. territorio y protección pat. y medio amb;0
Melilla;Contra la seguridad colectiva;89
Melilla;De las falsedades;62
Melilla;Contra la Administración Pública;0
Melilla;Contra la administración de justicia;41
Melilla;Contra la Constitución;0
Melilla;Contra el orden público;73
Melilla;delitos de traición y contra la paz o independencia;0
Melilla;Contra la comunidad internacional;0
Melilla;Concurso de delitos;37
Melilla;No consta;0
Melilla;Total;691
Total;Homicidio y formas;523
Total;Del Aborto;2
Total;De las lesiones;23.607
Total;De las lesiones al feto;10
Total;Contra la libertad;2.130
Total;De las torturas y otros delitos contra la integirdad moral;2.046
Total;Contra la libertad e indemnidad sexuales;1.270
Total;De la omisión del deber de socorro;24
Total;Contra la intimidad, derecho a la propia imagen e inviolabil;75
Total;Contra el honor;121
Total;Contra las relaciones familiares;2.869
Total;Contra el patrimonio y el orden socioeconomico;33.444
Total;Contra la hacienda publica y la Seg.social;173
Total;Contra los derechos de los trabajadores;635
Total;Relativos a la ord. territorio y protección pat. y medio amb;219
Total;Contra la seguridad colectiva;38.570
Total;De las falsedades;1.930
Total;Contra la Administración Pública;77
Total;Contra la administración de justicia;7.153
Total;Contra la Constitución;128
Total;Contra el orden público;6.371
Total;delitos de traición y contra la paz o independencia;17
Total;Contra la comunidad internacional;1
Total;Concurso de delitos;7.069
Total;No consta;463
Total;Total;128.927
