Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
04 Balears, Illes;Mujeres;De 61 a 70 años;2019;73
04 Balears, Illes;Mujeres;De 61 a 70 años;2018;66
04 Balears, Illes;Mujeres;De 61 a 70 años;2017;48
04 Balears, Illes;Mujeres;De 61 a 70 años;2016;24
04 Balears, Illes;Mujeres;De 61 a 70 años;2015;21
04 Balears, Illes;Mujeres;De 61 a 70 años;2014;18
04 Balears, Illes;Mujeres;De 61 a 70 años;2013;14
04 Balears, Illes;Mujeres;71 y más años;2019;18
04 Balears, Illes;Mujeres;71 y más años;2018;18
04 Balears, Illes;Mujeres;71 y más años;2017;15
04 Balears, Illes;Mujeres;71 y más años;2016;8
04 Balears, Illes;Mujeres;71 y más años;2015;2
04 Balears, Illes;Mujeres;71 y más años;2014;7
04 Balears, Illes;Mujeres;71 y más años;2013;10
05 Canarias;Total;Total ;2019;15.481
05 Canarias;Total;Total ;2018;15.520
05 Canarias;Total;Total ;2017;15.589
05 Canarias;Total;Total ;2016;15.139
05 Canarias;Total;Total ;2015;12.603
05 Canarias;Total;Total ;2014;12.400
05 Canarias;Total;Total ;2013;11.756
05 Canarias;Total;De 18 a 20 años;2019;1.068
05 Canarias;Total;De 18 a 20 años;2018;1.143
05 Canarias;Total;De 18 a 20 años;2017;1.144
05 Canarias;Total;De 18 a 20 años;2016;1.161
05 Canarias;Total;De 18 a 20 años;2015;1.037
05 Canarias;Total;De 18 a 20 años;2014;1.043
05 Canarias;Total;De 18 a 20 años;2013;954
05 Canarias;Total;De 21 a 25 años;2019;1.868
05 Canarias;Total;De 21 a 25 años;2018;1.880
05 Canarias;Total;De 21 a 25 años;2017;1.891
05 Canarias;Total;De 21 a 25 años;2016;2.082
05 Canarias;Total;De 21 a 25 años;2015;1.729
05 Canarias;Total;De 21 a 25 años;2014;1.780
05 Canarias;Total;De 21 a 25 años;2013;1.645
05 Canarias;Total;De 26 a 30 años;2019;2.078
05 Canarias;Total;De 26 a 30 años;2018;2.142
05 Canarias;Total;De 26 a 30 años;2017;2.146
05 Canarias;Total;De 26 a 30 años;2016;2.175
05 Canarias;Total;De 26 a 30 años;2015;1.771
05 Canarias;Total;De 26 a 30 años;2014;1.812
05 Canarias;Total;De 26 a 30 años;2013;1.811
05 Canarias;Total;De 31 a 35 años;2019;2.073
05 Canarias;Total;De 31 a 35 años;2018;2.217
05 Canarias;Total;De 31 a 35 años;2017;2.228
05 Canarias;Total;De 31 a 35 años;2016;2.173
05 Canarias;Total;De 31 a 35 años;2015;1.870
05 Canarias;Total;De 31 a 35 años;2014;1.861
05 Canarias;Total;De 31 a 35 años;2013;1.745
05 Canarias;Total;De 36 a 40 años;2019;2.127
05 Canarias;Total;De 36 a 40 años;2018;2.050
05 Canarias;Total;De 36 a 40 años;2017;2.087
05 Canarias;Total;De 36 a 40 años;2016;2.028
05 Canarias;Total;De 36 a 40 años;2015;1.747
05 Canarias;Total;De 36 a 40 años;2014;1.642
05 Canarias;Total;De 36 a 40 años;2013;1.630
05 Canarias;Total;De 41 a 50 años;2019;3.518
05 Canarias;Total;De 41 a 50 años;2018;3.500
05 Canarias;Total;De 41 a 50 años;2017;3.524
05 Canarias;Total;De 41 a 50 años;2016;3.284
05 Canarias;Total;De 41 a 50 años;2015;2.740
05 Canarias;Total;De 41 a 50 años;2014;2.605
05 Canarias;Total;De 41 a 50 años;2013;2.512
05 Canarias;Total;De 51 a 60 años;2019;1.927
05 Canarias;Total;De 51 a 60 años;2018;1.802
05 Canarias;Total;De 51 a 60 años;2017;1.789
05 Canarias;Total;De 51 a 60 años;2016;1.571
05 Canarias;Total;De 51 a 60 años;2015;1.221
05 Canarias;Total;De 51 a 60 años;2014;1.241
05 Canarias;Total;De 51 a 60 años;2013;1.034
05 Canarias;Total;De 61 a 70 años;2019;634
05 Canarias;Total;De 61 a 70 años;2018;613
05 Canarias;Total;De 61 a 70 años;2017;617
05 Canarias;Total;De 61 a 70 años;2016;518
05 Canarias;Total;De 61 a 70 años;2015;402
05 Canarias;Total;De 61 a 70 años;2014;341
05 Canarias;Total;De 61 a 70 años;2013;341
05 Canarias;Total;71 y más años;2019;188
05 Canarias;Total;71 y más años;2018;173
05 Canarias;Total;71 y más años;2017;163
05 Canarias;Total;71 y más años;2016;147
05 Canarias;Total;71 y más años;2015;86
05 Canarias;Total;71 y más años;2014;75
05 Canarias;Total;71 y más años;2013;84
05 Canarias;Hombres;Total ;2019;12.632
05 Canarias;Hombres;Total ;2018;12.762
05 Canarias;Hombres;Total ;2017;12.809
05 Canarias;Hombres;Total ;2016;12.545
05 Canarias;Hombres;Total ;2015;10.992
05 Canarias;Hombres;Total ;2014;11.035
05 Canarias;Hombres;Total ;2013;10.535
05 Canarias;Hombres;De 18 a 20 años;2019;835
05 Canarias;Hombres;De 18 a 20 años;2018;909
05 Canarias;Hombres;De 18 a 20 años;2017;917
05 Canarias;Hombres;De 18 a 20 años;2016;936
05 Canarias;Hombres;De 18 a 20 años;2015;880
05 Canarias;Hombres;De 18 a 20 años;2014;932
05 Canarias;Hombres;De 18 a 20 años;2013;864
05 Canarias;Hombres;De 21 a 25 años;2019;1.452
05 Canarias;Hombres;De 21 a 25 años;2018;1.516
05 Canarias;Hombres;De 21 a 25 años;2017;1.518
05 Canarias;Hombres;De 21 a 25 años;2016;1.682
05 Canarias;Hombres;De 21 a 25 años;2015;1.495
05 Canarias;Hombres;De 21 a 25 años;2014;1.558
05 Canarias;Hombres;De 21 a 25 años;2013;1.452
05 Canarias;Hombres;De 26 a 30 años;2019;1.684
05 Canarias;Hombres;De 26 a 30 años;2018;1.730
05 Canarias;Hombres;De 26 a 30 años;2017;1.742
05 Canarias;Hombres;De 26 a 30 años;2016;1.749
05 Canarias;Hombres;De 26 a 30 años;2015;1.525
05 Canarias;Hombres;De 26 a 30 años;2014;1.576
05 Canarias;Hombres;De 26 a 30 años;2013;1.584
05 Canarias;Hombres;De 31 a 35 años;2019;1.704
05 Canarias;Hombres;De 31 a 35 años;2018;1.805
05 Canarias;Hombres;De 31 a 35 años;2017;1.835
05 Canarias;Hombres;De 31 a 35 años;2016;1.787
05 Canarias;Hombres;De 31 a 35 años;2015;1.641
05 Canarias;Hombres;De 31 a 35 años;2014;1.632
05 Canarias;Hombres;De 31 a 35 años;2013;1.522
05 Canarias;Hombres;De 36 a 40 años;2019;1.741
05 Canarias;Hombres;De 36 a 40 años;2018;1.709
05 Canarias;Hombres;De 36 a 40 años;2017;1.721
05 Canarias;Hombres;De 36 a 40 años;2016;1.729
05 Canarias;Hombres;De 36 a 40 años;2015;1.497
05 Canarias;Hombres;De 36 a 40 años;2014;1.444
05 Canarias;Hombres;De 36 a 40 años;2013;1.473
05 Canarias;Hombres;De 41 a 50 años;2019;2.917
05 Canarias;Hombres;De 41 a 50 años;2018;2.919
05 Canarias;Hombres;De 41 a 50 años;2017;2.934
05 Canarias;Hombres;De 41 a 50 años;2016;2.771
05 Canarias;Hombres;De 41 a 50 años;2015;2.432
05 Canarias;Hombres;De 41 a 50 años;2014;2.355
05 Canarias;Hombres;De 41 a 50 años;2013;2.262
05 Canarias;Hombres;De 51 a 60 años;2019;1.615
05 Canarias;Hombres;De 51 a 60 años;2018;1.524
05 Canarias;Hombres;De 51 a 60 años;2017;1.496
05 Canarias;Hombres;De 51 a 60 años;2016;1.338
05 Canarias;Hombres;De 51 a 60 años;2015;1.076
05 Canarias;Hombres;De 51 a 60 años;2014;1.145
05 Canarias;Hombres;De 51 a 60 años;2013;974
05 Canarias;Hombres;De 61 a 70 años;2019;525
05 Canarias;Hombres;De 61 a 70 años;2018;511
05 Canarias;Hombres;De 61 a 70 años;2017;517
05 Canarias;Hombres;De 61 a 70 años;2016;427
05 Canarias;Hombres;De 61 a 70 años;2015;370
05 Canarias;Hombres;De 61 a 70 años;2014;322
05 Canarias;Hombres;De 61 a 70 años;2013;321
05 Canarias;Hombres;71 y más años;2019;159
05 Canarias;Hombres;71 y más años;2018;139
05 Canarias;Hombres;71 y más años;2017;129
05 Canarias;Hombres;71 y más años;2016;126
05 Canarias;Hombres;71 y más años;2015;76
05 Canarias;Hombres;71 y más años;2014;71
05 Canarias;Hombres;71 y más años;2013;83
05 Canarias;Mujeres;Total ;2019;2.849
05 Canarias;Mujeres;Total ;2018;2.758
05 Canarias;Mujeres;Total ;2017;2.780
05 Canarias;Mujeres;Total ;2016;2.594
05 Canarias;Mujeres;Total ;2015;1.611
05 Canarias;Mujeres;Total ;2014;1.365
05 Canarias;Mujeres;Total ;2013;1.221
05 Canarias;Mujeres;De 18 a 20 años;2019;233
05 Canarias;Mujeres;De 18 a 20 años;2018;234
05 Canarias;Mujeres;De 18 a 20 años;2017;227
05 Canarias;Mujeres;De 18 a 20 años;2016;225
05 Canarias;Mujeres;De 18 a 20 años;2015;157
05 Canarias;Mujeres;De 18 a 20 años;2014;111
05 Canarias;Mujeres;De 18 a 20 años;2013;90
05 Canarias;Mujeres;De 21 a 25 años;2019;416
05 Canarias;Mujeres;De 21 a 25 años;2018;364
05 Canarias;Mujeres;De 21 a 25 años;2017;373
05 Canarias;Mujeres;De 21 a 25 años;2016;400
05 Canarias;Mujeres;De 21 a 25 años;2015;234
05 Canarias;Mujeres;De 21 a 25 años;2014;222
05 Canarias;Mujeres;De 21 a 25 años;2013;193
05 Canarias;Mujeres;De 26 a 30 años;2019;394
05 Canarias;Mujeres;De 26 a 30 años;2018;412
05 Canarias;Mujeres;De 26 a 30 años;2017;404
05 Canarias;Mujeres;De 26 a 30 años;2016;426
05 Canarias;Mujeres;De 26 a 30 años;2015;246
05 Canarias;Mujeres;De 26 a 30 años;2014;236
05 Canarias;Mujeres;De 26 a 30 años;2013;227
05 Canarias;Mujeres;De 31 a 35 años;2019;369
05 Canarias;Mujeres;De 31 a 35 años;2018;412
05 Canarias;Mujeres;De 31 a 35 años;2017;393
05 Canarias;Mujeres;De 31 a 35 años;2016;386
05 Canarias;Mujeres;De 31 a 35 años;2015;229
05 Canarias;Mujeres;De 31 a 35 años;2014;229
05 Canarias;Mujeres;De 31 a 35 años;2013;223
05 Canarias;Mujeres;De 36 a 40 años;2019;386
05 Canarias;Mujeres;De 36 a 40 años;2018;341
05 Canarias;Mujeres;De 36 a 40 años;2017;366
05 Canarias;Mujeres;De 36 a 40 años;2016;299
05 Canarias;Mujeres;De 36 a 40 años;2015;250
05 Canarias;Mujeres;De 36 a 40 años;2014;198
05 Canarias;Mujeres;De 36 a 40 años;2013;157
05 Canarias;Mujeres;De 41 a 50 años;2019;601
05 Canarias;Mujeres;De 41 a 50 años;2018;581
05 Canarias;Mujeres;De 41 a 50 años;2017;590
05 Canarias;Mujeres;De 41 a 50 años;2016;513
05 Canarias;Mujeres;De 41 a 50 años;2015;308
05 Canarias;Mujeres;De 41 a 50 años;2014;250
05 Canarias;Mujeres;De 41 a 50 años;2013;250
05 Canarias;Mujeres;De 51 a 60 años;2019;312
05 Canarias;Mujeres;De 51 a 60 años;2018;278
05 Canarias;Mujeres;De 51 a 60 años;2017;293
05 Canarias;Mujeres;De 51 a 60 años;2016;233
05 Canarias;Mujeres;De 51 a 60 años;2015;145
05 Canarias;Mujeres;De 51 a 60 años;2014;96
05 Canarias;Mujeres;De 51 a 60 años;2013;60
05 Canarias;Mujeres;De 61 a 70 años;2019;109
05 Canarias;Mujeres;De 61 a 70 años;2018;102
05 Canarias;Mujeres;De 61 a 70 años;2017;100
05 Canarias;Mujeres;De 61 a 70 años;2016;91
05 Canarias;Mujeres;De 61 a 70 años;2015;32
05 Canarias;Mujeres;De 61 a 70 años;2014;19
05 Canarias;Mujeres;De 61 a 70 años;2013;20
05 Canarias;Mujeres;71 y más años;2019;29
05 Canarias;Mujeres;71 y más años;2018;34
05 Canarias;Mujeres;71 y más años;2017;34
05 Canarias;Mujeres;71 y más años;2016;21
05 Canarias;Mujeres;71 y más años;2015;10
05 Canarias;Mujeres;71 y más años;2014;4
05 Canarias;Mujeres;71 y más años;2013;1
06 Cantabria;Total;Total ;2019;3.475
06 Cantabria;Total;Total ;2018;3.450
06 Cantabria;Total;Total ;2017;3.320
06 Cantabria;Total;Total ;2016;3.370
06 Cantabria;Total;Total ;2015;2.580
06 Cantabria;Total;Total ;2014;2.622
06 Cantabria;Total;Total ;2013;2.618
06 Cantabria;Total;De 18 a 20 años;2019;282
06 Cantabria;Total;De 18 a 20 años;2018;292
06 Cantabria;Total;De 18 a 20 años;2017;283
06 Cantabria;Total;De 18 a 20 años;2016;301
06 Cantabria;Total;De 18 a 20 años;2015;259
06 Cantabria;Total;De 18 a 20 años;2014;214
06 Cantabria;Total;De 18 a 20 años;2013;238
06 Cantabria;Total;De 21 a 25 años;2019;414
06 Cantabria;Total;De 21 a 25 años;2018;459
06 Cantabria;Total;De 21 a 25 años;2017;431
06 Cantabria;Total;De 21 a 25 años;2016;466
06 Cantabria;Total;De 21 a 25 años;2015;325
06 Cantabria;Total;De 21 a 25 años;2014;395
06 Cantabria;Total;De 21 a 25 años;2013;385
06 Cantabria;Total;De 26 a 30 años;2019;409
06 Cantabria;Total;De 26 a 30 años;2018;419
06 Cantabria;Total;De 26 a 30 años;2017;410
06 Cantabria;Total;De 26 a 30 años;2016;422
06 Cantabria;Total;De 26 a 30 años;2015;330
06 Cantabria;Total;De 26 a 30 años;2014;390
06 Cantabria;Total;De 26 a 30 años;2013;407
06 Cantabria;Total;De 31 a 35 años;2019;436
06 Cantabria;Total;De 31 a 35 años;2018;458
06 Cantabria;Total;De 31 a 35 años;2017;450
06 Cantabria;Total;De 31 a 35 años;2016;478
06 Cantabria;Total;De 31 a 35 años;2015;370
06 Cantabria;Total;De 31 a 35 años;2014;387
06 Cantabria;Total;De 31 a 35 años;2013;392
06 Cantabria;Total;De 36 a 40 años;2019;467
06 Cantabria;Total;De 36 a 40 años;2018;461
06 Cantabria;Total;De 36 a 40 años;2017;450
06 Cantabria;Total;De 36 a 40 años;2016;423
06 Cantabria;Total;De 36 a 40 años;2015;344
06 Cantabria;Total;De 36 a 40 años;2014;351
06 Cantabria;Total;De 36 a 40 años;2013;331
06 Cantabria;Total;De 41 a 50 años;2019;799
06 Cantabria;Total;De 41 a 50 años;2018;775
06 Cantabria;Total;De 41 a 50 años;2017;716
06 Cantabria;Total;De 41 a 50 años;2016;716
06 Cantabria;Total;De 41 a 50 años;2015;535
06 Cantabria;Total;De 41 a 50 años;2014;524
06 Cantabria;Total;De 41 a 50 años;2013;506
06 Cantabria;Total;De 51 a 60 años;2019;406
06 Cantabria;Total;De 51 a 60 años;2018;374
06 Cantabria;Total;De 51 a 60 años;2017;386
06 Cantabria;Total;De 51 a 60 años;2016;382
06 Cantabria;Total;De 51 a 60 años;2015;281
06 Cantabria;Total;De 51 a 60 años;2014;260
06 Cantabria;Total;De 51 a 60 años;2013;236
06 Cantabria;Total;De 61 a 70 años;2019;212
06 Cantabria;Total;De 61 a 70 años;2018;158
06 Cantabria;Total;De 61 a 70 años;2017;145
06 Cantabria;Total;De 61 a 70 años;2016;140
06 Cantabria;Total;De 61 a 70 años;2015;107
06 Cantabria;Total;De 61 a 70 años;2014;79
06 Cantabria;Total;De 61 a 70 años;2013;94
06 Cantabria;Total;71 y más años;2019;50
06 Cantabria;Total;71 y más años;2018;54
06 Cantabria;Total;71 y más años;2017;49
06 Cantabria;Total;71 y más años;2016;42
06 Cantabria;Total;71 y más años;2015;29
06 Cantabria;Total;71 y más años;2014;22
06 Cantabria;Total;71 y más años;2013;29
06 Cantabria;Hombres;Total ;2019;2.764
06 Cantabria;Hombres;Total ;2018;2.707
06 Cantabria;Hombres;Total ;2017;2.668
06 Cantabria;Hombres;Total ;2016;2.725
06 Cantabria;Hombres;Total ;2015;2.204
06 Cantabria;Hombres;Total ;2014;2.284
06 Cantabria;Hombres;Total ;2013;2.280
06 Cantabria;Hombres;De 18 a 20 años;2019;220
06 Cantabria;Hombres;De 18 a 20 años;2018;216
06 Cantabria;Hombres;De 18 a 20 años;2017;213
06 Cantabria;Hombres;De 18 a 20 años;2016;245
06 Cantabria;Hombres;De 18 a 20 años;2015;225
06 Cantabria;Hombres;De 18 a 20 años;2014;192
06 Cantabria;Hombres;De 18 a 20 años;2013;203
06 Cantabria;Hombres;De 21 a 25 años;2019;331
06 Cantabria;Hombres;De 21 a 25 años;2018;347
06 Cantabria;Hombres;De 21 a 25 años;2017;344
06 Cantabria;Hombres;De 21 a 25 años;2016;387
06 Cantabria;Hombres;De 21 a 25 años;2015;269
06 Cantabria;Hombres;De 21 a 25 años;2014;337
06 Cantabria;Hombres;De 21 a 25 años;2013;333
06 Cantabria;Hombres;De 26 a 30 años;2019;320
06 Cantabria;Hombres;De 26 a 30 años;2018;325
06 Cantabria;Hombres;De 26 a 30 años;2017;318
06 Cantabria;Hombres;De 26 a 30 años;2016;332
06 Cantabria;Hombres;De 26 a 30 años;2015;272
06 Cantabria;Hombres;De 26 a 30 años;2014;327
06 Cantabria;Hombres;De 26 a 30 años;2013;355
06 Cantabria;Hombres;De 31 a 35 años;2019;345
06 Cantabria;Hombres;De 31 a 35 años;2018;355
06 Cantabria;Hombres;De 31 a 35 años;2017;378
06 Cantabria;Hombres;De 31 a 35 años;2016;388
06 Cantabria;Hombres;De 31 a 35 años;2015;314
06 Cantabria;Hombres;De 31 a 35 años;2014;345
06 Cantabria;Hombres;De 31 a 35 años;2013;348
06 Cantabria;Hombres;De 36 a 40 años;2019;371
06 Cantabria;Hombres;De 36 a 40 años;2018;382
06 Cantabria;Hombres;De 36 a 40 años;2017;359
06 Cantabria;Hombres;De 36 a 40 años;2016;333
06 Cantabria;Hombres;De 36 a 40 años;2015;294
06 Cantabria;Hombres;De 36 a 40 años;2014;298
06 Cantabria;Hombres;De 36 a 40 años;2013;286
06 Cantabria;Hombres;De 41 a 50 años;2019;634
06 Cantabria;Hombres;De 41 a 50 años;2018;614
06 Cantabria;Hombres;De 41 a 50 años;2017;585
06 Cantabria;Hombres;De 41 a 50 años;2016;581
06 Cantabria;Hombres;De 41 a 50 años;2015;461
06 Cantabria;Hombres;De 41 a 50 años;2014;463
06 Cantabria;Hombres;De 41 a 50 años;2013;434
06 Cantabria;Hombres;De 51 a 60 años;2019;321
06 Cantabria;Hombres;De 51 a 60 años;2018;306
06 Cantabria;Hombres;De 51 a 60 años;2017;318
06 Cantabria;Hombres;De 51 a 60 años;2016;319
06 Cantabria;Hombres;De 51 a 60 años;2015;255
06 Cantabria;Hombres;De 51 a 60 años;2014;231
06 Cantabria;Hombres;De 51 a 60 años;2013;208
06 Cantabria;Hombres;De 61 a 70 años;2019;183
06 Cantabria;Hombres;De 61 a 70 años;2018;123
06 Cantabria;Hombres;De 61 a 70 años;2017;115
06 Cantabria;Hombres;De 61 a 70 años;2016;105
06 Cantabria;Hombres;De 61 a 70 años;2015;92
06 Cantabria;Hombres;De 61 a 70 años;2014;73
06 Cantabria;Hombres;De 61 a 70 años;2013;86
06 Cantabria;Hombres;71 y más años;2019;39
06 Cantabria;Hombres;71 y más años;2018;39
06 Cantabria;Hombres;71 y más años;2017;38
06 Cantabria;Hombres;71 y más años;2016;35
06 Cantabria;Hombres;71 y más años;2015;22
06 Cantabria;Hombres;71 y más años;2014;18
06 Cantabria;Hombres;71 y más años;2013;27
06 Cantabria;Mujeres;Total ;2019;711
06 Cantabria;Mujeres;Total ;2018;743
06 Cantabria;Mujeres;Total ;2017;652
06 Cantabria;Mujeres;Total ;2016;645
06 Cantabria;Mujeres;Total ;2015;376
06 Cantabria;Mujeres;Total ;2014;338
06 Cantabria;Mujeres;Total ;2013;338
06 Cantabria;Mujeres;De 18 a 20 años;2019;62
06 Cantabria;Mujeres;De 18 a 20 años;2018;76
06 Cantabria;Mujeres;De 18 a 20 años;2017;70
06 Cantabria;Mujeres;De 18 a 20 años;2016;56
06 Cantabria;Mujeres;De 18 a 20 años;2015;34
06 Cantabria;Mujeres;De 18 a 20 años;2014;22
06 Cantabria;Mujeres;De 18 a 20 años;2013;35
06 Cantabria;Mujeres;De 21 a 25 años;2019;83
06 Cantabria;Mujeres;De 21 a 25 años;2018;112
06 Cantabria;Mujeres;De 21 a 25 años;2017;87
06 Cantabria;Mujeres;De 21 a 25 años;2016;79
06 Cantabria;Mujeres;De 21 a 25 años;2015;56
06 Cantabria;Mujeres;De 21 a 25 años;2014;58
06 Cantabria;Mujeres;De 21 a 25 años;2013;52
06 Cantabria;Mujeres;De 26 a 30 años;2019;89
06 Cantabria;Mujeres;De 26 a 30 años;2018;94
06 Cantabria;Mujeres;De 26 a 30 años;2017;92
06 Cantabria;Mujeres;De 26 a 30 años;2016;90
06 Cantabria;Mujeres;De 26 a 30 años;2015;58
06 Cantabria;Mujeres;De 26 a 30 años;2014;63
06 Cantabria;Mujeres;De 26 a 30 años;2013;52
06 Cantabria;Mujeres;De 31 a 35 años;2019;91
06 Cantabria;Mujeres;De 31 a 35 años;2018;103
06 Cantabria;Mujeres;De 31 a 35 años;2017;72
06 Cantabria;Mujeres;De 31 a 35 años;2016;90
06 Cantabria;Mujeres;De 31 a 35 años;2015;56
06 Cantabria;Mujeres;De 31 a 35 años;2014;42
06 Cantabria;Mujeres;De 31 a 35 años;2013;44
06 Cantabria;Mujeres;De 36 a 40 años;2019;96
06 Cantabria;Mujeres;De 36 a 40 años;2018;79
06 Cantabria;Mujeres;De 36 a 40 años;2017;91
06 Cantabria;Mujeres;De 36 a 40 años;2016;90
06 Cantabria;Mujeres;De 36 a 40 años;2015;50
06 Cantabria;Mujeres;De 36 a 40 años;2014;53
06 Cantabria;Mujeres;De 36 a 40 años;2013;45
06 Cantabria;Mujeres;De 41 a 50 años;2019;165
06 Cantabria;Mujeres;De 41 a 50 años;2018;161
06 Cantabria;Mujeres;De 41 a 50 años;2017;131
06 Cantabria;Mujeres;De 41 a 50 años;2016;135
06 Cantabria;Mujeres;De 41 a 50 años;2015;74
06 Cantabria;Mujeres;De 41 a 50 años;2014;61
06 Cantabria;Mujeres;De 41 a 50 años;2013;72
06 Cantabria;Mujeres;De 51 a 60 años;2019;85
06 Cantabria;Mujeres;De 51 a 60 años;2018;68
06 Cantabria;Mujeres;De 51 a 60 años;2017;68
06 Cantabria;Mujeres;De 51 a 60 años;2016;63
06 Cantabria;Mujeres;De 51 a 60 años;2015;26
06 Cantabria;Mujeres;De 51 a 60 años;2014;29
06 Cantabria;Mujeres;De 51 a 60 años;2013;28
06 Cantabria;Mujeres;De 61 a 70 años;2019;29
06 Cantabria;Mujeres;De 61 a 70 años;2018;35
06 Cantabria;Mujeres;De 61 a 70 años;2017;30
06 Cantabria;Mujeres;De 61 a 70 años;2016;35
06 Cantabria;Mujeres;De 61 a 70 años;2015;15
06 Cantabria;Mujeres;De 61 a 70 años;2014;6
06 Cantabria;Mujeres;De 61 a 70 años;2013;8
06 Cantabria;Mujeres;71 y más años;2019;11
06 Cantabria;Mujeres;71 y más años;2018;15
06 Cantabria;Mujeres;71 y más años;2017;11
06 Cantabria;Mujeres;71 y más años;2016;7
06 Cantabria;Mujeres;71 y más años;2015;7
06 Cantabria;Mujeres;71 y más años;2014;4
06 Cantabria;Mujeres;71 y más años;2013;2
07 Castilla y León;Total;Total ;2019;11.501
07 Castilla y León;Total;Total ;2018;11.486
07 Castilla y León;Total;Total ;2017;11.434
07 Castilla y León;Total;Total ;2016;10.551
07 Castilla y León;Total;Total ;2015;8.962
07 Castilla y León;Total;Total ;2014;9.009
07 Castilla y León;Total;Total ;2013;9.596
07 Castilla y León;Total;De 18 a 20 años;2019;862
07 Castilla y León;Total;De 18 a 20 años;2018;911
07 Castilla y León;Total;De 18 a 20 años;2017;912
07 Castilla y León;Total;De 18 a 20 años;2016;859
07 Castilla y León;Total;De 18 a 20 años;2015;673
07 Castilla y León;Total;De 18 a 20 años;2014;725
07 Castilla y León;Total;De 18 a 20 años;2013;724
07 Castilla y León;Total;De 21 a 25 años;2019;1.469
07 Castilla y León;Total;De 21 a 25 años;2018;1.503
07 Castilla y León;Total;De 21 a 25 años;2017;1.534
07 Castilla y León;Total;De 21 a 25 años;2016;1.435
07 Castilla y León;Total;De 21 a 25 años;2015;1.306
07 Castilla y León;Total;De 21 a 25 años;2014;1.324
07 Castilla y León;Total;De 21 a 25 años;2013;1.437
07 Castilla y León;Total;De 26 a 30 años;2019;1.469
07 Castilla y León;Total;De 26 a 30 años;2018;1.387
07 Castilla y León;Total;De 26 a 30 años;2017;1.456
07 Castilla y León;Total;De 26 a 30 años;2016;1.397
07 Castilla y León;Total;De 26 a 30 años;2015;1.226
07 Castilla y León;Total;De 26 a 30 años;2014;1.277
07 Castilla y León;Total;De 26 a 30 años;2013;1.424
07 Castilla y León;Total;De 31 a 35 años;2019;1.453
07 Castilla y León;Total;De 31 a 35 años;2018;1.475
07 Castilla y León;Total;De 31 a 35 años;2017;1.451
07 Castilla y León;Total;De 31 a 35 años;2016;1.415
07 Castilla y León;Total;De 31 a 35 años;2015;1.275
07 Castilla y León;Total;De 31 a 35 años;2014;1.320
07 Castilla y León;Total;De 31 a 35 años;2013;1.376
07 Castilla y León;Total;De 36 a 40 años;2019;1.476
07 Castilla y León;Total;De 36 a 40 años;2018;1.488
07 Castilla y León;Total;De 36 a 40 años;2017;1.520
07 Castilla y León;Total;De 36 a 40 años;2016;1.421
07 Castilla y León;Total;De 36 a 40 años;2015;1.249
07 Castilla y León;Total;De 36 a 40 años;2014;1.246
07 Castilla y León;Total;De 36 a 40 años;2013;1.364
07 Castilla y León;Total;De 41 a 50 años;2019;2.551
07 Castilla y León;Total;De 41 a 50 años;2018;2.639
07 Castilla y León;Total;De 41 a 50 años;2017;2.463
07 Castilla y León;Total;De 41 a 50 años;2016;2.292
07 Castilla y León;Total;De 41 a 50 años;2015;1.926
07 Castilla y León;Total;De 41 a 50 años;2014;1.924
07 Castilla y León;Total;De 41 a 50 años;2013;2.045
07 Castilla y León;Total;De 51 a 60 años;2019;1.462
07 Castilla y León;Total;De 51 a 60 años;2018;1.354
07 Castilla y León;Total;De 51 a 60 años;2017;1.333
07 Castilla y León;Total;De 51 a 60 años;2016;1.108
07 Castilla y León;Total;De 51 a 60 años;2015;923
07 Castilla y León;Total;De 51 a 60 años;2014;863
07 Castilla y León;Total;De 51 a 60 años;2013;877
07 Castilla y León;Total;De 61 a 70 años;2019;551
07 Castilla y León;Total;De 61 a 70 años;2018;535
07 Castilla y León;Total;De 61 a 70 años;2017;542
07 Castilla y León;Total;De 61 a 70 años;2016;450
07 Castilla y León;Total;De 61 a 70 años;2015;294
07 Castilla y León;Total;De 61 a 70 años;2014;252
07 Castilla y León;Total;De 61 a 70 años;2013;271
07 Castilla y León;Total;71 y más años;2019;208
07 Castilla y León;Total;71 y más años;2018;194
07 Castilla y León;Total;71 y más años;2017;223
07 Castilla y León;Total;71 y más años;2016;174
07 Castilla y León;Total;71 y más años;2015;90
07 Castilla y León;Total;71 y más años;2014;78
07 Castilla y León;Total;71 y más años;2013;78
07 Castilla y León;Hombres;Total ;2019;9.148
07 Castilla y León;Hombres;Total ;2018;9.059
07 Castilla y León;Hombres;Total ;2017;9.111
07 Castilla y León;Hombres;Total ;2016;8.628
07 Castilla y León;Hombres;Total ;2015;7.734
07 Castilla y León;Hombres;Total ;2014;7.918
07 Castilla y León;Hombres;Total ;2013;8.542
07 Castilla y León;Hombres;De 18 a 20 años;2019;681
07 Castilla y León;Hombres;De 18 a 20 años;2018;708
07 Castilla y León;Hombres;De 18 a 20 años;2017;683
07 Castilla y León;Hombres;De 18 a 20 años;2016;672
07 Castilla y León;Hombres;De 18 a 20 años;2015;557
07 Castilla y León;Hombres;De 18 a 20 años;2014;634
07 Castilla y León;Hombres;De 18 a 20 años;2013;642
07 Castilla y León;Hombres;De 21 a 25 años;2019;1.164
