Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
Total Nacional;Hombres;De 31 a 35 años;2013;30.934
Total Nacional;Hombres;De 36 a 40 años;2019;31.795
Total Nacional;Hombres;De 36 a 40 años;2018;31.843
Total Nacional;Hombres;De 36 a 40 años;2017;31.756
Total Nacional;Hombres;De 36 a 40 años;2016;30.643
Total Nacional;Hombres;De 36 a 40 años;2015;27.198
Total Nacional;Hombres;De 36 a 40 años;2014;26.913
Total Nacional;Hombres;De 36 a 40 años;2013;27.282
Total Nacional;Hombres;De 41 a 50 años;2019;49.354
Total Nacional;Hombres;De 41 a 50 años;2018;48.636
Total Nacional;Hombres;De 41 a 50 años;2017;47.408
Total Nacional;Hombres;De 41 a 50 años;2016;45.557
Total Nacional;Hombres;De 41 a 50 años;2015;38.730
Total Nacional;Hombres;De 41 a 50 años;2014;38.432
Total Nacional;Hombres;De 41 a 50 años;2013;38.464
Total Nacional;Hombres;De 51 a 60 años;2019;24.100
Total Nacional;Hombres;De 51 a 60 años;2018;23.044
Total Nacional;Hombres;De 51 a 60 años;2017;22.182
Total Nacional;Hombres;De 51 a 60 años;2016;20.403
Total Nacional;Hombres;De 51 a 60 años;2015;16.689
Total Nacional;Hombres;De 51 a 60 años;2014;16.033
Total Nacional;Hombres;De 51 a 60 años;2013;15.684
Total Nacional;Hombres;De 61 a 70 años;2019;8.068
Total Nacional;Hombres;De 61 a 70 años;2018;7.528
Total Nacional;Hombres;De 61 a 70 años;2017;7.334
Total Nacional;Hombres;De 61 a 70 años;2016;6.580
Total Nacional;Hombres;De 61 a 70 años;2015;5.054
Total Nacional;Hombres;De 61 a 70 años;2014;4.655
Total Nacional;Hombres;De 61 a 70 años;2013;4.608
Total Nacional;Hombres;71 y más años;2019;2.560
Total Nacional;Hombres;71 y más años;2018;2.428
Total Nacional;Hombres;71 y más años;2017;2.320
Total Nacional;Hombres;71 y más años;2016;2.071
Total Nacional;Hombres;71 y más años;2015;1.343
Total Nacional;Hombres;71 y más años;2014;1.207
Total Nacional;Hombres;71 y más años;2013;1.156
Total Nacional;Mujeres;Total ;2019;59.209
Total Nacional;Mujeres;Total ;2018;59.426
Total Nacional;Mujeres;Total ;2017;59.583
Total Nacional;Mujeres;Total ;2016;52.246
Total Nacional;Mujeres;Total ;2015;31.986
Total Nacional;Mujeres;Total ;2014;27.219
Total Nacional;Mujeres;Total ;2013;25.180
Total Nacional;Mujeres;De 18 a 20 años;2019;5.346
Total Nacional;Mujeres;De 18 a 20 años;2018;5.659
Total Nacional;Mujeres;De 18 a 20 años;2017;6.118
Total Nacional;Mujeres;De 18 a 20 años;2016;5.094
Total Nacional;Mujeres;De 18 a 20 años;2015;2.801
Total Nacional;Mujeres;De 18 a 20 años;2014;2.353
Total Nacional;Mujeres;De 18 a 20 años;2013;2.230
Total Nacional;Mujeres;De 21 a 25 años;2019;8.418
Total Nacional;Mujeres;De 21 a 25 años;2018;8.828
Total Nacional;Mujeres;De 21 a 25 años;2017;9.136
Total Nacional;Mujeres;De 21 a 25 años;2016;8.327
Total Nacional;Mujeres;De 21 a 25 años;2015;5.243
Total Nacional;Mujeres;De 21 a 25 años;2014;4.662
Total Nacional;Mujeres;De 21 a 25 años;2013;4.301
Total Nacional;Mujeres;De 26 a 30 años;2019;8.273
Total Nacional;Mujeres;De 26 a 30 años;2018;8.568
Total Nacional;Mujeres;De 26 a 30 años;2017;8.616
Total Nacional;Mujeres;De 26 a 30 años;2016;7.827
Total Nacional;Mujeres;De 26 a 30 años;2015;5.127
Total Nacional;Mujeres;De 26 a 30 años;2014;4.513
Total Nacional;Mujeres;De 26 a 30 años;2013;4.220
Total Nacional;Mujeres;De 31 a 35 años;2019;8.033
Total Nacional;Mujeres;De 31 a 35 años;2018;8.360
Total Nacional;Mujeres;De 31 a 35 años;2017;8.276
Total Nacional;Mujeres;De 31 a 35 años;2016;7.576
Total Nacional;Mujeres;De 31 a 35 años;2015;4.931
Total Nacional;Mujeres;De 31 a 35 años;2014;4.392
Total Nacional;Mujeres;De 31 a 35 años;2013;4.097
Total Nacional;Mujeres;De 36 a 40 años;2019;8.059
Total Nacional;Mujeres;De 36 a 40 años;2018;8.034
Total Nacional;Mujeres;De 36 a 40 años;2017;7.922
Total Nacional;Mujeres;De 36 a 40 años;2016;6.829
